Area,Type,Case,Year,Data,Unit
Alberta,Total,Reference,2005,282.2086041,Thousand cubic metres
Alberta,Total,Reference,2006,308.9046079,Thousand cubic metres
Alberta,Total,Reference,2007,316.6441177,Thousand cubic metres
Alberta,Total,Reference,2008,309.7823281,Thousand cubic metres
Alberta,Total,Reference,2009,331.0152841,Thousand cubic metres
Alberta,Total,Reference,2010,349.5559472,Thousand cubic metres
Alberta,Total,Reference,2011,374.7583896,Thousand cubic metres
Alberta,Total,Reference,2012,413.0934652,Thousand cubic metres
Alberta,Total,Reference,2013,444.7539353,Thousand cubic metres
Alberta,Total,Reference,2014,485.0177317,Thousand cubic metres
Alberta,Total,Reference,2015,518.7942573,Thousand cubic metres
Alberta,Total,Reference,2016,556.7740097,Thousand cubic metres
Alberta,Total,Reference,2017,596.0525954,Thousand cubic metres
Alberta,Total,Reference,2018,613.1984368,Thousand cubic metres
Alberta,Total,Reference,2019,625.9780863,Thousand cubic metres
Alberta,Total,Reference,2020,636.0942225,Thousand cubic metres
Alberta,Total,Reference,2021,645.2037524,Thousand cubic metres
Alberta,Total,Reference,2022,660.6567712,Thousand cubic metres
Alberta,Total,Reference,2023,686.2668369,Thousand cubic metres
Alberta,Total,Reference,2024,707.0406278,Thousand cubic metres
Alberta,Total,Reference,2025,721.938106,Thousand cubic metres
Alberta,Total,Reference,2026,737.7804379,Thousand cubic metres
Alberta,Total,Reference,2027,753.422089,Thousand cubic metres
Alberta,Total,Reference,2028,768.206274,Thousand cubic metres
Alberta,Total,Reference,2029,780.5525867,Thousand cubic metres
Alberta,Total,Reference,2030,791.5404839,Thousand cubic metres
Alberta,Total,Reference,2031,802.8907366,Thousand cubic metres
Alberta,Total,Reference,2032,813.6340342,Thousand cubic metres
Alberta,Total,Reference,2033,822.0096405,Thousand cubic metres
Alberta,Total,Reference,2034,829.3284324,Thousand cubic metres
Alberta,Total,Reference,2035,837.1263405,Thousand cubic metres
Alberta,Total,Reference,2036,844.8042415,Thousand cubic metres
Alberta,Total,Reference,2037,850.5923446,Thousand cubic metres
Alberta,Total,Reference,2038,855.5890267,Thousand cubic metres
Alberta,Total,Reference,2039,860.034193,Thousand cubic metres
Alberta,Total,Reference,2040,864.2117233,Thousand cubic metres
Alberta,Conventional Light,Reference,2005,59.4,Thousand cubic metres
Alberta,Conventional Light,Reference,2006,57.2,Thousand cubic metres
Alberta,Conventional Light,Reference,2007,55.1,Thousand cubic metres
Alberta,Conventional Light,Reference,2008,55.1,Thousand cubic metres
Alberta,Conventional Light,Reference,2009,50.6,Thousand cubic metres
Alberta,Conventional Light,Reference,2010,50.7,Thousand cubic metres
Alberta,Conventional Light,Reference,2011,55.7,Thousand cubic metres
Alberta,Conventional Light,Reference,2012,65,Thousand cubic metres
Alberta,Conventional Light,Reference,2013,68.3,Thousand cubic metres
Alberta,Conventional Light,Reference,2014,69.48072267,Thousand cubic metres
Alberta,Conventional Light,Reference,2015,68.67669172,Thousand cubic metres
Alberta,Conventional Light,Reference,2016,66.80846738,Thousand cubic metres
Alberta,Conventional Light,Reference,2017,65.58857833,Thousand cubic metres
Alberta,Conventional Light,Reference,2018,64.55287359,Thousand cubic metres
Alberta,Conventional Light,Reference,2019,63.87045227,Thousand cubic metres
Alberta,Conventional Light,Reference,2020,63.50930093,Thousand cubic metres
Alberta,Conventional Light,Reference,2021,63.37650284,Thousand cubic metres
Alberta,Conventional Light,Reference,2022,63.50184997,Thousand cubic metres
Alberta,Conventional Light,Reference,2023,63.89161826,Thousand cubic metres
Alberta,Conventional Light,Reference,2024,64.48436782,Thousand cubic metres
Alberta,Conventional Light,Reference,2025,65.26138289,Thousand cubic metres
Alberta,Conventional Light,Reference,2026,66.1404958,Thousand cubic metres
Alberta,Conventional Light,Reference,2027,67.02701751,Thousand cubic metres
Alberta,Conventional Light,Reference,2028,67.80317693,Thousand cubic metres
Alberta,Conventional Light,Reference,2029,68.383855,Thousand cubic metres
Alberta,Conventional Light,Reference,2030,68.75346102,Thousand cubic metres
Alberta,Conventional Light,Reference,2031,68.91787716,Thousand cubic metres
Alberta,Conventional Light,Reference,2032,68.86268492,Thousand cubic metres
Alberta,Conventional Light,Reference,2033,68.56300956,Thousand cubic metres
Alberta,Conventional Light,Reference,2034,68.19581056,Thousand cubic metres
Alberta,Conventional Light,Reference,2035,67.60694373,Thousand cubic metres
Alberta,Conventional Light,Reference,2036,67.0488577,Thousand cubic metres
Alberta,Conventional Light,Reference,2037,66.43369012,Thousand cubic metres
Alberta,Conventional Light,Reference,2038,65.81393763,Thousand cubic metres
Alberta,Conventional Light,Reference,2039,65.06436168,Thousand cubic metres
Alberta,Conventional Light,Reference,2040,64.24234909,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2005,31.4,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2006,29.2,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2007,28.3,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2008,24.8,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2009,22.7,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2010,22.3,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2011,22.2,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2012,23.3,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2013,24.3,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2014,24.3522876,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2015,23.81333506,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2016,23.12143835,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2017,22.45431884,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2018,21.85416761,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2019,21.34325821,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2020,20.90215543,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2021,20.53150267,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2022,20.2320278,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2023,19.99752578,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2024,19.82232507,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2025,19.70362014,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2026,19.62559406,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2027,19.56883426,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2028,19.50419122,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2029,19.40715877,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2030,19.27150087,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2031,19.09753974,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2032,18.88111276,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2033,18.61565993,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2034,18.33543453,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2035,17.99436713,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2036,17.68830656,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2037,17.37605488,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2038,17.07411408,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2039,16.76169279,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2040,16.44208129,Thousand cubic metres
Alberta,C5+,Reference,2005,20.56584873,Thousand cubic metres
Alberta,C5+,Reference,2006,21.35134897,Thousand cubic metres
Alberta,C5+,Reference,2007,21.25555168,Thousand cubic metres
Alberta,C5+,Reference,2008,20.07206897,Thousand cubic metres
Alberta,C5+,Reference,2009,18.83737346,Thousand cubic metres
Alberta,C5+,Reference,2010,18.33369515,Thousand cubic metres
Alberta,C5+,Reference,2011,17.72133784,Thousand cubic metres
Alberta,C5+,Reference,2012,17.2919447,Thousand cubic metres
Alberta,C5+,Reference,2013,18.15945834,Thousand cubic metres
Alberta,C5+,Reference,2014,21.23276237,Thousand cubic metres
Alberta,C5+,Reference,2015,22.77444092,Thousand cubic metres
Alberta,C5+,Reference,2016,22.35843472,Thousand cubic metres
Alberta,C5+,Reference,2017,22.43496586,Thousand cubic metres
Alberta,C5+,Reference,2018,22.50553064,Thousand cubic metres
Alberta,C5+,Reference,2019,22.6028889,Thousand cubic metres
Alberta,C5+,Reference,2020,22.6796635,Thousand cubic metres
