Area,Type,Case,Year,Data,Unit
British Columbia,Total,Reference,2005,74.33217189,Million cubic metres Per Day
British Columbia,Total,Reference,2006,73.7656157,Million cubic metres Per Day
British Columbia,Total,Reference,2007,74.0488938,Million cubic metres Per Day
British Columbia,Total,Reference,2008,75.74856236,Million cubic metres Per Day
British Columbia,Total,Reference,2009,75.72023455,Million cubic metres Per Day
British Columbia,Total,Reference,2010,81.92402482,Million cubic metres Per Day
British Columbia,Total,Reference,2011,97.41933656,Million cubic metres Per Day
British Columbia,Total,Reference,2012,97.58930342,Million cubic metres Per Day
British Columbia,Total,Reference,2013,105.9176794,Million cubic metres Per Day
British Columbia,Total,Reference,2014,113.4245489,Million cubic metres Per Day
British Columbia,Total,Reference,2015,124.8406561,Million cubic metres Per Day
British Columbia,Total,Reference,2016,129.5714002,Million cubic metres Per Day
British Columbia,Total,Reference,2017,136.0867964,Million cubic metres Per Day
British Columbia,Total,Reference,2018,142.1489476,Million cubic metres Per Day
British Columbia,Total,Reference,2019,151.1005354,Million cubic metres Per Day
British Columbia,Total,Reference,2020,163.6214272,Million cubic metres Per Day
British Columbia,Total,Reference,2021,178.2669046,Million cubic metres Per Day
British Columbia,Total,Reference,2022,191.8642531,Million cubic metres Per Day
British Columbia,Total,Reference,2023,202.9970822,Million cubic metres Per Day
British Columbia,Total,Reference,2024,210.7872298,Million cubic metres Per Day
British Columbia,Total,Reference,2025,215.2913515,Million cubic metres Per Day
British Columbia,Total,Reference,2026,218.6906886,Million cubic metres Per Day
British Columbia,Total,Reference,2027,220.418685,Million cubic metres Per Day
British Columbia,Total,Reference,2028,220.277046,Million cubic metres Per Day
British Columbia,Total,Reference,2029,220.3337016,Million cubic metres Per Day
British Columbia,Total,Reference,2030,221.0418968,Million cubic metres Per Day
British Columbia,Total,Reference,2031,222.0900258,Million cubic metres Per Day
British Columbia,Total,Reference,2032,223.4780884,Million cubic metres Per Day
British Columbia,Total,Reference,2033,224.8378233,Million cubic metres Per Day
British Columbia,Total,Reference,2034,226.1125747,Million cubic metres Per Day
British Columbia,Total,Reference,2035,227.2740149,Million cubic metres Per Day
British Columbia,Total,Reference,2036,228.2371604,Million cubic metres Per Day
British Columbia,Total,Reference,2037,229.1153225,Million cubic metres Per Day
British Columbia,Total,Reference,2038,229.8518456,Million cubic metres Per Day
British Columbia,Total,Reference,2039,230.4467296,Million cubic metres Per Day
British Columbia,Total,Reference,2040,231.0982692,Million cubic metres Per Day
British Columbia,Solution,Reference,2005,1.699668565,Million cubic metres Per Day
British Columbia,Solution,Reference,2006,1.614685136,Million cubic metres Per Day
British Columbia,Solution,Reference,2007,1.473046089,Million cubic metres Per Day
British Columbia,Solution,Reference,2008,1.303079233,Million cubic metres Per Day
British Columbia,Solution,Reference,2009,0.96314552,Million cubic metres Per Day
British Columbia,Solution,Reference,2010,1.019801139,Million cubic metres Per Day
British Columbia,Solution,Reference,2011,0.934817711,Million cubic metres Per Day
British Columbia,Solution,Reference,2012,1.019801139,Million cubic metres Per Day
British Columbia,Solution,Reference,2013,1.048128948,Million cubic metres Per Day
British Columbia,Solution,Reference,2014,1.218095805,Million cubic metres Per Day
British Columbia,Solution,Reference,2015,1.218095805,Million cubic metres Per Day
British Columbia,Solution,Reference,2016,1.189767995,Million cubic metres Per Day
British Columbia,Solution,Reference,2017,1.189767995,Million cubic metres Per Day
British Columbia,Solution,Reference,2018,1.161440186,Million cubic metres Per Day
British Columbia,Solution,Reference,2019,1.048128948,Million cubic metres Per Day
British Columbia,Solution,Reference,2020,0.96314552,Million cubic metres Per Day
British Columbia,Solution,Reference,2021,0.934817711,Million cubic metres Per Day
British Columbia,Solution,Reference,2022,0.934817711,Million cubic metres Per Day
British Columbia,Solution,Reference,2023,0.96314552,Million cubic metres Per Day
British Columbia,Solution,Reference,2024,0.991473329,Million cubic metres Per Day
British Columbia,Solution,Reference,2025,1.019801139,Million cubic metres Per Day
British Columbia,Solution,Reference,2026,1.019801139,Million cubic metres Per Day
British Columbia,Solution,Reference,2027,1.048128948,Million cubic metres Per Day
British Columbia,Solution,Reference,2028,1.076456758,Million cubic metres Per Day
British Columbia,Solution,Reference,2029,1.104784567,Million cubic metres Per Day
British Columbia,Solution,Reference,2030,1.104784567,Million cubic metres Per Day
British Columbia,Solution,Reference,2031,1.104784567,Million cubic metres Per Day
British Columbia,Solution,Reference,2032,1.133112376,Million cubic metres Per Day
British Columbia,Solution,Reference,2033,1.133112376,Million cubic metres Per Day
British Columbia,Solution,Reference,2034,1.133112376,Million cubic metres Per Day
British Columbia,Solution,Reference,2035,1.133112376,Million cubic metres Per Day
British Columbia,Solution,Reference,2036,1.104784567,Million cubic metres Per Day
British Columbia,Solution,Reference,2037,1.104784567,Million cubic metres Per Day
British Columbia,Solution,Reference,2038,1.104784567,Million cubic metres Per Day
British Columbia,Solution,Reference,2039,1.076456758,Million cubic metres Per Day
British Columbia,Solution,Reference,2040,1.076456758,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2005,51.89654684,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2006,50.05523923,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2007,49.99858361,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2008,50.19687828,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2009,49.71530552,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2010,42.66168097,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2011,39.46063851,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2012,32.09540806,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2013,28.83770998,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2014,25.49502847,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2015,22.60559191,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2016,20.53766182,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2017,18.75300983,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2018,17.19498031,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2019,15.83524546,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2020,14.61714966,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2021,13.51236509,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2022,12.54921957,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2023,11.69938529,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2024,10.93453443,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2025,10.2263392,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2026,9.60312739,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2027,9.036571202,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2028,8.526670633,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2029,8.101753491,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2030,7.70516416,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2031,7.365230447,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2032,7.081952353,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2033,6.827002068,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2034,6.600379593,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2035,6.402084927,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2036,6.203790261,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2037,6.062151214,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2038,5.920512167,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2039,5.77887312,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2040,5.693889692,Million cubic metres Per Day
British Columbia,Tight,Reference,2005,20.73595649,Million cubic metres Per Day
British Columbia,Tight,Reference,2006,22.09569134,Million cubic metres Per Day
British Columbia,Tight,Reference,2007,22.54893629,Million cubic metres Per Day
British Columbia,Tight,Reference,2008,24.24860486,Million cubic metres Per Day
British Columbia,Tight,Reference,2009,22.91719781,Million cubic metres Per Day
British Columbia,Tight,Reference,2010,33.25684825,Million cubic metres Per Day
British Columbia,Tight,Reference,2011,45.91937905,Million cubic metres Per Day
British Columbia,Tight,Reference,2012,51.61326875,Million cubic metres Per Day
British Columbia,Tight,Reference,2013,59.94164471,Million cubic metres Per Day
British Columbia,Tight,Reference,2014,72.12260276,Million cubic metres Per Day
British Columbia,Tight,Reference,2015,87.50460327,Million cubic metres Per Day
British Columbia,Tight,Reference,2016,95.60635676,Million cubic metres Per Day
British Columbia,Tight,Reference,2017,104.8412226,Million cubic metres Per Day
British Columbia,Tight,Reference,2018,112.8579927,Million cubic metres Per Day
British Columbia,Tight,Reference,2019,122.5744313,Million cubic metres Per Day
British Columbia,Tight,Reference,2020,134.5570947,Million cubic metres Per Day
British Columbia,Tight,Reference,2021,147.8428373,Million cubic metres Per Day
British Columbia,Tight,Reference,2022,160.1087788,Million cubic metres Per Day
British Columbia,Tight,Reference,2023,170.3067902,Million cubic metres Per Day
British Columbia,Tight,Reference,2024,177.8136597,Million cubic metres Per Day
British Columbia,Tight,Reference,2025,182.6010595,Million cubic metres Per Day
British Columbia,Tight,Reference,2026,186.3686581,Million cubic metres Per Day
British Columbia,Tight,Reference,2027,188.6915385,Million cubic metres Per Day
British Columbia,Tight,Reference,2028,189.513045,Million cubic metres Per Day
British Columbia,Tight,Reference,2029,190.391207,Million cubic metres Per Day
British Columbia,Tight,Reference,2030,191.7509419,Million cubic metres Per Day
