Area,Type,Case,Year,Data,Unit
British Columbia,Total,Reference,2005,74.3321718931,Million cubic metres Per Day
British Columbia,Total,Reference,2006,73.7656157049,Million cubic metres Per Day
British Columbia,Total,Reference,2007,74.048893799,Million cubic metres Per Day
British Columbia,Total,Reference,2008,75.7485623637,Million cubic metres Per Day
British Columbia,Total,Reference,2009,75.7202345543,Million cubic metres Per Day
British Columbia,Total,Reference,2010,81.5557632928,Million cubic metres Per Day
British Columbia,Total,Reference,2011,97.1360584686,Million cubic metres Per Day
British Columbia,Total,Reference,2012,97.4193365627,Million cubic metres Per Day
British Columbia,Total,Reference,2013,105.7477125294,Million cubic metres Per Day
British Columbia,Total,Reference,2014,112.7730092632,Million cubic metres Per Day
British Columbia,Total,Reference,2015,126.5403246367,Million cubic metres Per Day
British Columbia,Total,Reference,2016,147.7295260757,Million cubic metres Per Day
British Columbia,Total,Reference,2017,146.5680858899,Million cubic metres Per Day
British Columbia,Total,Reference,2018,145.4349735135,Million cubic metres Per Day
British Columbia,Total,Reference,2019,143.8769439959,Million cubic metres Per Day
British Columbia,Total,Reference,2020,142.432225716,Million cubic metres Per Day
British Columbia,Total,Reference,2021,152.8002039602,Million cubic metres Per Day
British Columbia,Total,Reference,2022,166.2559134302,Million cubic metres Per Day
British Columbia,Total,Reference,2023,176.1139911051,Million cubic metres Per Day
British Columbia,Total,Reference,2024,189.1164556245,Million cubic metres Per Day
British Columbia,Total,Reference,2025,200.6175462451,Million cubic metres Per Day
British Columbia,Total,Reference,2026,207.7561542166,Million cubic metres Per Day
British Columbia,Total,Reference,2027,209.852412113,Million cubic metres Per Day
British Columbia,Total,Reference,2028,209.7674286847,Million cubic metres Per Day
British Columbia,Total,Reference,2029,209.5974618283,Million cubic metres Per Day
British Columbia,Total,Reference,2030,209.4841505906,Million cubic metres Per Day
British Columbia,Total,Reference,2031,210.1073623977,Million cubic metres Per Day
British Columbia,Total,Reference,2032,210.0790345883,Million cubic metres Per Day
British Columbia,Total,Reference,2033,210.5322795388,Million cubic metres Per Day
British Columbia,Total,Reference,2034,210.8722132518,Million cubic metres Per Day
British Columbia,Total,Reference,2035,210.0790345883,Million cubic metres Per Day
British Columbia,Total,Reference,2036,209.7674286847,Million cubic metres Per Day
British Columbia,Total,Reference,2037,209.5124784,Million cubic metres Per Day
British Columbia,Total,Reference,2038,209.7107730659,Million cubic metres Per Day
British Columbia,Total,Reference,2039,209.8807399224,Million cubic metres Per Day
British Columbia,Total,Reference,2040,209.9657233506,Million cubic metres Per Day
British Columbia,Solution,Reference,2005,1.6996685646,Million cubic metres Per Day
British Columbia,Solution,Reference,2006,1.6146851364,Million cubic metres Per Day
British Columbia,Solution,Reference,2007,1.4730460893,Million cubic metres Per Day
British Columbia,Solution,Reference,2008,1.3030792329,Million cubic metres Per Day
British Columbia,Solution,Reference,2009,0.96314552,Million cubic metres Per Day
British Columbia,Solution,Reference,2010,0.8781620917,Million cubic metres Per Day
British Columbia,Solution,Reference,2011,0.8781620917,Million cubic metres Per Day
British Columbia,Solution,Reference,2012,0.9914733294,Million cubic metres Per Day
British Columbia,Solution,Reference,2013,1.0481289482,Million cubic metres Per Day
British Columbia,Solution,Reference,2014,1.3030792329,Million cubic metres Per Day
British Columbia,Solution,Reference,2015,1.5580295176,Million cubic metres Per Day
British Columbia,Solution,Reference,2016,2.067930087,Million cubic metres Per Day
British Columbia,Solution,Reference,2017,2.2945525623,Million cubic metres Per Day
British Columbia,Solution,Reference,2018,2.4361916093,Million cubic metres Per Day
British Columbia,Solution,Reference,2019,2.5778306564,Million cubic metres Per Day
British Columbia,Solution,Reference,2020,2.7194697034,Million cubic metres Per Day
British Columbia,Solution,Reference,2021,2.8894365599,Million cubic metres Per Day
British Columbia,Solution,Reference,2022,3.0594034163,Million cubic metres Per Day
British Columbia,Solution,Reference,2023,3.2576980822,Million cubic metres Per Day
British Columbia,Solution,Reference,2024,3.4559927481,Million cubic metres Per Day
British Columbia,Solution,Reference,2025,3.5976317951,Million cubic metres Per Day
British Columbia,Solution,Reference,2026,3.6826152234,Million cubic metres Per Day
British Columbia,Solution,Reference,2027,3.7675986516,Million cubic metres Per Day
British Columbia,Solution,Reference,2028,3.8242542704,Million cubic metres Per Day
British Columbia,Solution,Reference,2029,3.8809098892,Million cubic metres Per Day
British Columbia,Solution,Reference,2030,3.9092376986,Million cubic metres Per Day
British Columbia,Solution,Reference,2031,3.9658933175,Million cubic metres Per Day
British Columbia,Solution,Reference,2032,4.0225489363,Million cubic metres Per Day
British Columbia,Solution,Reference,2033,4.0508767457,Million cubic metres Per Day
British Columbia,Solution,Reference,2034,4.0508767457,Million cubic metres Per Day
British Columbia,Solution,Reference,2035,4.0508767457,Million cubic metres Per Day
British Columbia,Solution,Reference,2036,4.0792045551,Million cubic metres Per Day
British Columbia,Solution,Reference,2037,4.0792045551,Million cubic metres Per Day
British Columbia,Solution,Reference,2038,4.0792045551,Million cubic metres Per Day
British Columbia,Solution,Reference,2039,4.1075323645,Million cubic metres Per Day
British Columbia,Solution,Reference,2040,4.1075323645,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2005,51.89654684,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2006,50.0552392284,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2007,49.9985836095,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2008,50.1968782754,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2009,49.7153055154,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2010,40.4804396476,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2011,36.9394634713,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2012,31.0189513045,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2013,29.262627121,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2014,27.1663692247,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2015,25.325061613,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2016,22.3506416249,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2017,20.2827115379,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2018,18.6963542109,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2019,17.251635931,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2020,15.9485566981,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2021,14.7587887029,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2022,13.6823319453,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2023,12.6908586159,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2024,11.7843687148,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2025,10.9345344325,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2026,10.1696835784,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2027,9.4898161525,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2028,8.8382765361,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2029,8.2433925385,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2030,7.7051641597,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2031,7.1952635903,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2032,6.7420186397,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2033,6.3171014985,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2034,5.9205121668,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2035,5.5805784539,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2036,5.2406447409,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2037,4.9290388374,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2038,4.6457607433,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2039,4.3908104586,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2040,4.1641879833,Million cubic metres Per Day
British Columbia,Tight,Reference,2005,20.7359564885,Million cubic metres Per Day
British Columbia,Tight,Reference,2006,22.0956913402,Million cubic metres Per Day
British Columbia,Tight,Reference,2007,22.5489362908,Million cubic metres Per Day
British Columbia,Tight,Reference,2008,24.2486048554,Million cubic metres Per Day
British Columbia,Tight,Reference,2009,22.9171978131,Million cubic metres Per Day
British Columbia,Tight,Reference,2010,35.8346789043,Million cubic metres Per Day
British Columbia,Tight,Reference,2011,48.9787824708,Million cubic metres Per Day
British Columbia,Tight,Reference,2012,53.5395597858,Million cubic metres Per Day
British Columbia,Tight,Reference,2013,59.9983003314,Million cubic metres Per Day
British Columbia,Tight,Reference,2014,69.5730999122,Million cubic metres Per Day
British Columbia,Tight,Reference,2015,88.609387836,Million cubic metres Per Day
British Columbia,Tight,Reference,2016,113.4812044985,Million cubic metres Per Day
British Columbia,Tight,Reference,2017,115.6057902042,Million cubic metres Per Day
British Columbia,Tight,Reference,2018,117.2771309595,Million cubic metres Per Day
British Columbia,Tight,Reference,2019,118.1552930512,Million cubic metres Per Day
British Columbia,Tight,Reference,2020,118.835160477,Million cubic metres Per Day
British Columbia,Tight,Reference,2021,128.8915328178,Million cubic metres Per Day
British Columbia,Tight,Reference,2022,141.2424577207,Million cubic metres Per Day
British Columbia,Tight,Reference,2023,150.6756182544,Million cubic metres Per Day
British Columbia,Tight,Reference,2024,161.4401858304,Million cubic metres Per Day
British Columbia,Tight,Reference,2025,170.8450185547,Million cubic metres Per Day
British Columbia,Tight,Reference,2026,176.7655307215,Million cubic metres Per Day
British Columbia,Tight,Reference,2027,178.7201495708,Million cubic metres Per Day
British Columbia,Tight,Reference,2028,179.0600832838,Million cubic metres Per Day
British Columbia,Tight,Reference,2029,179.4000169967,Million cubic metres Per Day
British Columbia,Tight,Reference,2030,179.768278519,Million cubic metres Per Day
British Columbia,Tight,Reference,2031,180.731424039,Million cubic metres Per Day
British Columbia,Tight,Reference,2032,181.0996855613,Million cubic metres Per Day
British Columbia,Tight,Reference,2033,181.8645364154,Million cubic metres Per Day
British Columbia,Tight,Reference,2034,182.4877482224,Million cubic metres Per Day
British Columbia,Tight,Reference,2035,182.2044701283,Million cubic metres Per Day
British Columbia,Tight,Reference,2036,182.317781366,Million cubic metres Per Day
British Columbia,Tight,Reference,2037,182.4027647942,Million cubic metres Per Day
British Columbia,Tight,Reference,2038,182.940993173,Million cubic metres Per Day
British Columbia,Tight,Reference,2039,183.3375825047,Million cubic metres Per Day
British Columbia,Tight,Reference,2040,183.6775162177,Million cubic metres Per Day
British Columbia,Shale,Reference,2005,0,Million cubic metres Per Day
British Columbia,Shale,Reference,2006,0,Million cubic metres Per Day
British Columbia,Shale,Reference,2007,0,Million cubic metres Per Day
British Columbia,Shale,Reference,2008,0,Million cubic metres Per Day
British Columbia,Shale,Reference,2009,2.1529135152,Million cubic metres Per Day
British Columbia,Shale,Reference,2010,4.3624826492,Million cubic metres Per Day
British Columbia,Shale,Reference,2011,10.3396504348,Million cubic metres Per Day
British Columbia,Shale,Reference,2012,11.869352143,Million cubic metres Per Day
British Columbia,Shale,Reference,2013,15.4386561287,Million cubic metres Per Day
British Columbia,Shale,Reference,2014,14.7304608935,Million cubic metres Per Day
British Columbia,Shale,Reference,2015,11.0478456701,Million cubic metres Per Day
British Columbia,Shale,Reference,2016,9.8297498654,Million cubic metres Per Day
British Columbia,Shale,Reference,2017,8.3850315855,Million cubic metres Per Day
British Columbia,Shale,Reference,2018,7.0252967338,Million cubic metres Per Day
British Columbia,Shale,Reference,2019,5.8921843574,Million cubic metres Per Day
British Columbia,Shale,Reference,2020,4.9290388374,Million cubic metres Per Day
British Columbia,Shale,Reference,2021,6.2604458797,Million cubic metres Per Day
British Columbia,Shale,Reference,2022,8.2717203479,Million cubic metres Per Day
British Columbia,Shale,Reference,2023,9.4898161525,Million cubic metres Per Day
British Columbia,Shale,Reference,2024,12.4359083312,Million cubic metres Per Day
British Columbia,Shale,Reference,2025,15.2403614628,Million cubic metres Per Day
British Columbia,Shale,Reference,2026,17.1383246934,Million cubic metres Per Day
British Columbia,Shale,Reference,2027,17.874847738,Million cubic metres Per Day
British Columbia,Shale,Reference,2028,18.0448145945,Million cubic metres Per Day
British Columbia,Shale,Reference,2029,18.0731424039,Million cubic metres Per Day
British Columbia,Shale,Reference,2030,18.1014702133,Million cubic metres Per Day
British Columbia,Shale,Reference,2031,18.214781451,Million cubic metres Per Day
British Columbia,Shale,Reference,2032,18.214781451,Million cubic metres Per Day
British Columbia,Shale,Reference,2033,18.2997648792,Million cubic metres Per Day
British Columbia,Shale,Reference,2034,18.4130761168,Million cubic metres Per Day
British Columbia,Shale,Reference,2035,18.2431092604,Million cubic metres Per Day
British Columbia,Shale,Reference,2036,18.1297980227,Million cubic metres Per Day
British Columbia,Shale,Reference,2037,18.1014702133,Million cubic metres Per Day
British Columbia,Shale,Reference,2038,18.0448145945,Million cubic metres Per Day
British Columbia,Shale,Reference,2039,18.0448145945,Million cubic metres Per Day
British Columbia,Shale,Reference,2040,18.0164867851,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2005,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2006,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2007,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2008,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2009,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2010,22.154584856,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2011,35.0018979632,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2012,42.9605110337,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2013,48.7021897397,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2014,59.4419421546,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2015,80.0051556613,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2016,106.4566442877,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2017,109.4426503498,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2018,111.8080507634,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2019,113.2523441262,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2020,114.4345202685,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2021,124.9254412056,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2022,137.6392453472,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2023,147.4210645591,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2024,158.4874649443,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2025,168.1358885017,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2026,174.3188861505,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2027,176.4853970142,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2028,176.9980453812,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2029,177.5072094275,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2030,178.0341350103,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2031,179.145066712,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2032,179.618311096,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2033,180.4837256735,Million cubic metres Per Day
