Area,Type,Case,Year,Data,Unit
Alberta,Total,HTC,2005,282.21,Thousand cubic metres
Alberta,Total,HTC,2006,308.9,Thousand cubic metres
Alberta,Total,HTC,2007,316.65,Thousand cubic metres
Alberta,Total,HTC,2008,309.78,Thousand cubic metres
Alberta,Total,HTC,2009,331.02,Thousand cubic metres
Alberta,Total,HTC,2010,349.0785779,Thousand cubic metres
Alberta,Total,HTC,2011,374.1556089,Thousand cubic metres
Alberta,Total,HTC,2012,413.3323738,Thousand cubic metres
Alberta,Total,HTC,2013,444.3140834,Thousand cubic metres
Alberta,Total,HTC,2014,472.1040165,Thousand cubic metres
Alberta,Total,HTC,2015,515.8990953,Thousand cubic metres
Alberta,Total,HTC,2016,505.8873652,Thousand cubic metres
Alberta,Total,HTC,2017,564.1913638,Thousand cubic metres
Alberta,Total,HTC,2018,588.7953516,Thousand cubic metres
Alberta,Total,HTC,2019,602.7573931,Thousand cubic metres
Alberta,Total,HTC,2020,616.9387358,Thousand cubic metres
Alberta,Total,HTC,2021,628.0017,Thousand cubic metres
Alberta,Total,HTC,2022,637.3916565,Thousand cubic metres
Alberta,Total,HTC,2023,646.5619481,Thousand cubic metres
Alberta,Total,HTC,2024,656.7350324,Thousand cubic metres
Alberta,Total,HTC,2025,666.7226003,Thousand cubic metres
Alberta,Total,HTC,2026,679.3548232,Thousand cubic metres
Alberta,Total,HTC,2027,699.3651277,Thousand cubic metres
Alberta,Total,HTC,2028,707.8311073,Thousand cubic metres
Alberta,Total,HTC,2029,711.501705,Thousand cubic metres
Alberta,Total,HTC,2030,720.8653586,Thousand cubic metres
Alberta,Total,HTC,2031,731.6370982,Thousand cubic metres
Alberta,Total,HTC,2032,736.7840394,Thousand cubic metres
Alberta,Total,HTC,2033,747.0359524,Thousand cubic metres
Alberta,Total,HTC,2034,747.4911651,Thousand cubic metres
Alberta,Total,HTC,2035,750.9299578,Thousand cubic metres
Alberta,Total,HTC,2036,759.768028,Thousand cubic metres
Alberta,Total,HTC,2037,764.1752477,Thousand cubic metres
Alberta,Total,HTC,2038,769.2075013,Thousand cubic metres
Alberta,Total,HTC,2039,771.8771876,Thousand cubic metres
Alberta,Total,HTC,2040,771.5145845,Thousand cubic metres
Alberta,Conventional Light,HTC,2005,59.4,Thousand cubic metres
Alberta,Conventional Light,HTC,2006,57.2,Thousand cubic metres
Alberta,Conventional Light,HTC,2007,55.1,Thousand cubic metres
Alberta,Conventional Light,HTC,2008,55.1,Thousand cubic metres
Alberta,Conventional Light,HTC,2009,50.6,Thousand cubic metres
Alberta,Conventional Light,HTC,2010,50.3854379,Thousand cubic metres
Alberta,Conventional Light,HTC,2011,55.51124634,Thousand cubic metres
Alberta,Conventional Light,HTC,2012,65.2179746,Thousand cubic metres
Alberta,Conventional Light,HTC,2013,69.43070524,Thousand cubic metres
Alberta,Conventional Light,HTC,2014,70.73144804,Thousand cubic metres
Alberta,Conventional Light,HTC,2015,63.42459532,Thousand cubic metres
Alberta,Conventional Light,HTC,2016,52.45173237,Thousand cubic metres
Alberta,Conventional Light,HTC,2017,49.96685259,Thousand cubic metres
Alberta,Conventional Light,HTC,2018,48.44873811,Thousand cubic metres
Alberta,Conventional Light,HTC,2019,47.18093142,Thousand cubic metres
Alberta,Conventional Light,HTC,2020,46.62962059,Thousand cubic metres
Alberta,Conventional Light,HTC,2021,47.15364959,Thousand cubic metres
Alberta,Conventional Light,HTC,2022,48.50982995,Thousand cubic metres
Alberta,Conventional Light,HTC,2023,49.8833608,Thousand cubic metres
Alberta,Conventional Light,HTC,2024,50.75579893,Thousand cubic metres
Alberta,Conventional Light,HTC,2025,51.17285303,Thousand cubic metres
Alberta,Conventional Light,HTC,2026,51.30312366,Thousand cubic metres
Alberta,Conventional Light,HTC,2027,51.32022489,Thousand cubic metres
Alberta,Conventional Light,HTC,2028,51.26227565,Thousand cubic metres
Alberta,Conventional Light,HTC,2029,51.17734328,Thousand cubic metres
Alberta,Conventional Light,HTC,2030,51.07434071,Thousand cubic metres
Alberta,Conventional Light,HTC,2031,50.91942946,Thousand cubic metres
Alberta,Conventional Light,HTC,2032,50.6944837,Thousand cubic metres
Alberta,Conventional Light,HTC,2033,50.38436159,Thousand cubic metres
Alberta,Conventional Light,HTC,2034,49.97251231,Thousand cubic metres
Alberta,Conventional Light,HTC,2035,49.53487532,Thousand cubic metres
Alberta,Conventional Light,HTC,2036,49.13442968,Thousand cubic metres
Alberta,Conventional Light,HTC,2037,48.67730125,Thousand cubic metres
Alberta,Conventional Light,HTC,2038,48.2035617,Thousand cubic metres
Alberta,Conventional Light,HTC,2039,47.66365223,Thousand cubic metres
Alberta,Conventional Light,HTC,2040,47.07917433,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2005,31.4,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2006,29.2,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2007,28.3,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2008,24.8,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2009,22.7,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2010,22.57100086,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2011,22.36572099,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2012,23.22300053,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2013,23.09622037,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2014,22.96050472,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2015,20.88690624,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2016,18.3509243,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2017,16.19504659,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2018,14.12381507,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2019,12.51115117,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2020,11.31777409,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2021,10.5794885,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2022,10.20980827,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2023,10.02431711,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2024,9.88045929,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2025,9.750540895,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2026,9.631264276,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2027,9.541449816,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2028,9.47723548,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2029,9.435840025,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2030,9.415578056,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2031,9.405616706,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2032,9.398052296,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2033,9.382654751,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2034,9.341025626,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2035,9.298844186,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2036,9.274629921,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2037,9.241473487,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2038,9.204548571,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2039,9.15306281,Thousand cubic metres
Alberta,Conventional Heavy,HTC,2040,9.086062804,Thousand cubic metres
Alberta,C5+,HTC,2005,20.57,Thousand cubic metres
Alberta,C5+,HTC,2006,21.35,Thousand cubic metres
Alberta,C5+,HTC,2007,21.26,Thousand cubic metres
Alberta,C5+,HTC,2008,20.07,Thousand cubic metres
Alberta,C5+,HTC,2009,18.84,Thousand cubic metres
Alberta,C5+,HTC,2010,18.33,Thousand cubic metres
Alberta,C5+,HTC,2011,17.72,Thousand cubic metres
Alberta,C5+,HTC,2012,17.29,Thousand cubic metres
Alberta,C5+,HTC,2013,18.16,Thousand cubic metres
Alberta,C5+,HTC,2014,21.23,Thousand cubic metres
Alberta,C5+,HTC,2015,26.69,Thousand cubic metres
Alberta,C5+,HTC,2016,26.67,Thousand cubic metres
Alberta,C5+,HTC,2017,27.02945681,Thousand cubic metres
Alberta,C5+,HTC,2018,26.89042928,Thousand cubic metres
Alberta,C5+,HTC,2019,26.75124066,Thousand cubic metres
Alberta,C5+,HTC,2020,26.69385624,Thousand cubic metres
Alberta,C5+,HTC,2021,26.75943119,Thousand cubic metres
Alberta,C5+,HTC,2022,26.87931572,Thousand cubic metres
Alberta,C5+,HTC,2023,26.08594526,Thousand cubic metres
Alberta,C5+,HTC,2024,26.17282422,Thousand cubic metres
Alberta,C5+,HTC,2025,26.28213179,Thousand cubic metres
Alberta,C5+,HTC,2026,26.38908629,Thousand cubic metres
Alberta,C5+,HTC,2027,26.50486628,Thousand cubic metres
Alberta,C5+,HTC,2028,26.63805656,Thousand cubic metres
Alberta,C5+,HTC,2029,26.79174719,Thousand cubic metres
Alberta,C5+,HTC,2030,27.00325465,Thousand cubic metres
