Sector,Source,Area,Case,Year,Data,Unit
N/A,Hydro,Canada,HCP,2005,358386.9629,GW.h
N/A,Hydro,Canada,HCP,2006,349481.9629,GW.h
N/A,Hydro,Canada,HCP,2007,364084.7239,GW.h
N/A,Hydro,Canada,HCP,2008,374005.644,GW.h
N/A,Hydro,Canada,HCP,2009,365205.343,GW.h
N/A,Hydro,Canada,HCP,2010,348112.029,GW.h
N/A,Hydro,Canada,HCP,2011,372244.267,GW.h
N/A,Hydro,Canada,HCP,2012,376448.799,GW.h
N/A,Hydro,Canada,HCP,2013,387967.77,GW.h
N/A,Hydro,Canada,HCP,2014,378767.55,GW.h
N/A,Hydro,Canada,HCP,2015,374115.9628,GW.h
N/A,Hydro,Canada,HCP,2016,376671.9311,GW.h
N/A,Hydro,Canada,HCP,2017,370242.2885,GW.h
N/A,Hydro,Canada,HCP,2018,371641.8455,GW.h
N/A,Hydro,Canada,HCP,2019,374726.1793,GW.h
N/A,Hydro,Canada,HCP,2020,384956.468,GW.h
N/A,Hydro,Canada,HCP,2021,389627.8884,GW.h
N/A,Hydro,Canada,HCP,2022,390286.676,GW.h
N/A,Hydro,Canada,HCP,2023,390692.6387,GW.h
N/A,Hydro,Canada,HCP,2024,391106.847,GW.h
N/A,Hydro,Canada,HCP,2025,391752.1101,GW.h
N/A,Hydro,Canada,HCP,2026,391777.1559,GW.h
N/A,Hydro,Canada,HCP,2027,394985.316,GW.h
N/A,Hydro,Canada,HCP,2028,399640.4988,GW.h
N/A,Hydro,Canada,HCP,2029,404564.4267,GW.h
N/A,Hydro,Canada,HCP,2030,406594.8795,GW.h
N/A,Hydro,Canada,HCP,2031,410137.8598,GW.h
N/A,Hydro,Canada,HCP,2032,410471.4042,GW.h
N/A,Hydro,Canada,HCP,2033,411023.0553,GW.h
N/A,Hydro,Canada,HCP,2034,411259.8664,GW.h
N/A,Hydro,Canada,HCP,2035,411401.2686,GW.h
N/A,Hydro,Canada,HCP,2036,411280.0242,GW.h
N/A,Hydro,Canada,HCP,2037,411738.3105,GW.h
N/A,Hydro,Canada,HCP,2038,411545.5412,GW.h
N/A,Hydro,Canada,HCP,2039,411592.5497,GW.h
N/A,Hydro,Canada,HCP,2040,411797.042,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2005,1453.407,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2006,2529.407,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2007,3683.407,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2008,4715.437,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2009,7036.228,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2010,8489.085,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2011,12145.402,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2012,14842.745,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2013,18720.877,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2014,23710.334,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2015,31314.8384,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2016,32015.8057,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2017,33965.6142,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2018,36526.2918,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2019,38316.3675,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2020,40261.8109,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2021,42114.2181,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2022,44375.8541,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2023,46268.7346,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2024,48454.088,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2025,52005.0533,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2026,56901.5875,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2027,60615.6213,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2028,62951.9699,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2029,64474.8908,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2030,68169.9326,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2031,69181.7152,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2032,71309.9572,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2033,71969.6891,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2034,73882.6498,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2035,75890.6747,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2036,77515.0928,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2037,79019.982,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2038,80560.6483,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2039,81744.7785,GW.h
N/A,Solar/Wind/Geothermal,Canada,HCP,2040,82957.0742,GW.h
N/A,Biofuels/Biomass,Canada,HCP,2005,7687.998,GW.h
N/A,Biofuels/Biomass,Canada,HCP,2006,7741.369,GW.h
N/A,Biofuels/Biomass,Canada,HCP,2007,7552.662,GW.h
N/A,Biofuels/Biomass,Canada,HCP,2008,7060.488,GW.h
N/A,Biofuels/Biomass,Canada,HCP,2009,6212.8,GW.h
