Area,Type,Case,Year,Data,Unit
British Columbia,Total,Reference,2005,74.3033354382169,Million cubic metres Per Day
British Columbia,Total,Reference,2006,73.7369990400598,Million cubic metres Per Day
British Columbia,Total,Reference,2007,74.0201672391384,Million cubic metres Per Day
British Columbia,Total,Reference,2008,75.7191764336098,Million cubic metres Per Day
British Columbia,Total,Reference,2009,75.6908596137019,Million cubic metres Per Day
British Columbia,Total,Reference,2010,81.8719153327085,Million cubic metres Per Day
British Columbia,Total,Reference,2011,97.3631830002804,Million cubic metres Per Day
British Columbia,Total,Reference,2012,97.5744844837985,Million cubic metres Per Day
British Columbia,Total,Reference,2013,105.867837271731,Million cubic metres Per Day
British Columbia,Total,Reference,2014,112.91406951213,Million cubic metres Per Day
British Columbia,Total,Reference,2015,118.679747221412,Million cubic metres Per Day
British Columbia,Total,Reference,2016,126.088144911326,Million cubic metres Per Day
British Columbia,Total,Reference,2017,129.140087244122,Million cubic metres Per Day
British Columbia,Total,Reference,2018,144.776379380258,Million cubic metres Per Day
British Columbia,Total,Reference,2019,148.699856711228,Million cubic metres Per Day
British Columbia,Total,Reference,2020,148.753805992972,Million cubic metres Per Day
British Columbia,Total,Reference,2021,149.574335701563,Million cubic metres Per Day
British Columbia,Total,Reference,2022,152.079177506817,Million cubic metres Per Day
British Columbia,Total,Reference,2023,156.172152259541,Million cubic metres Per Day
British Columbia,Total,Reference,2024,162.431221174185,Million cubic metres Per Day
British Columbia,Total,Reference,2025,173.26374182989,Million cubic metres Per Day
British Columbia,Total,Reference,2026,187.710724573619,Million cubic metres Per Day
British Columbia,Total,Reference,2027,195.038027883573,Million cubic metres Per Day
British Columbia,Total,Reference,2028,195.855022981931,Million cubic metres Per Day
British Columbia,Total,Reference,2029,197.537256422963,Million cubic metres Per Day
British Columbia,Total,Reference,2030,207.267909839245,Million cubic metres Per Day
British Columbia,Total,Reference,2031,222.757118933475,Million cubic metres Per Day
British Columbia,Total,Reference,2032,231.064142190079,Million cubic metres Per Day
British Columbia,Total,Reference,2033,233.930733448111,Million cubic metres Per Day
British Columbia,Total,Reference,2034,237.275571348475,Million cubic metres Per Day
British Columbia,Total,Reference,2035,241.022749449946,Million cubic metres Per Day
British Columbia,Total,Reference,2036,244.834489875321,Million cubic metres Per Day
British Columbia,Total,Reference,2037,248.393636126033,Million cubic metres Per Day
British Columbia,Total,Reference,2038,251.992745913175,Million cubic metres Per Day
British Columbia,Total,Reference,2039,256.363077236958,Million cubic metres Per Day
British Columbia,Total,Reference,2040,261.15821842179,Million cubic metres Per Day
British Columbia,Solution,Reference,2005,1.69900919447142,Million cubic metres Per Day
British Columbia,Solution,Reference,2006,1.61405873474785,Million cubic metres Per Day
British Columbia,Solution,Reference,2007,1.47247463520857,Million cubic metres Per Day
British Columbia,Solution,Reference,2008,1.30257371576143,Million cubic metres Per Day
British Columbia,Solution,Reference,2009,0.96277187686714,Million cubic metres Per Day
British Columbia,Solution,Reference,2010,0.919728999538436,Million cubic metres Per Day
British Columbia,Solution,Reference,2011,0.839059167995197,Million cubic metres Per Day
British Columbia,Solution,Reference,2012,0.914742030938957,Million cubic metres Per Day
British Columbia,Solution,Reference,2013,0.926821357678247,Million cubic metres Per Day
British Columbia,Solution,Reference,2014,1.1655569267189,Million cubic metres Per Day
