Sector,Source,Area,Case,Year,Data,Unit
N/A,Hydro,Alberta,Technology,2005,2316,GW.h
N/A,Hydro,Alberta,Technology,2006,1966,GW.h
N/A,Hydro,Alberta,Technology,2007,2113,GW.h
N/A,Hydro,Alberta,Technology,2008,2150,GW.h
N/A,Hydro,Alberta,Technology,2009,1695,GW.h
N/A,Hydro,Alberta,Technology,2010,1620,GW.h
N/A,Hydro,Alberta,Technology,2011,2036,GW.h
N/A,Hydro,Alberta,Technology,2012,2319,GW.h
N/A,Hydro,Alberta,Technology,2013,2028,GW.h
N/A,Hydro,Alberta,Technology,2014,1821.377,GW.h
N/A,Hydro,Alberta,Technology,2015,1977.46,GW.h
N/A,Hydro,Alberta,Technology,2016,2281.722,GW.h
N/A,Hydro,Alberta,Technology,2017,2281.637,GW.h
N/A,Hydro,Alberta,Technology,2018,2281.692,GW.h
N/A,Hydro,Alberta,Technology,2019,2281.709,GW.h
N/A,Hydro,Alberta,Technology,2020,2281.717,GW.h
N/A,Hydro,Alberta,Technology,2021,2281.766,GW.h
N/A,Hydro,Alberta,Technology,2022,2281.754,GW.h
N/A,Hydro,Alberta,Technology,2023,2281.734,GW.h
N/A,Hydro,Alberta,Technology,2024,2281.768,GW.h
N/A,Hydro,Alberta,Technology,2025,2281.725,GW.h
N/A,Hydro,Alberta,Technology,2026,2303.828,GW.h
N/A,Hydro,Alberta,Technology,2027,2323.741,GW.h
N/A,Hydro,Alberta,Technology,2028,2766.558,GW.h
N/A,Hydro,Alberta,Technology,2029,3379.035,GW.h
N/A,Hydro,Alberta,Technology,2030,3453.95,GW.h
N/A,Hydro,Alberta,Technology,2031,3183.819,GW.h
N/A,Hydro,Alberta,Technology,2032,3177.935,GW.h
N/A,Hydro,Alberta,Technology,2033,3157.537,GW.h
N/A,Hydro,Alberta,Technology,2034,2946.193,GW.h
N/A,Hydro,Alberta,Technology,2035,2762.354,GW.h
N/A,Hydro,Alberta,Technology,2036,2789.038,GW.h
N/A,Hydro,Alberta,Technology,2037,2965.222,GW.h
N/A,Hydro,Alberta,Technology,2038,3173.315,GW.h
N/A,Hydro,Alberta,Technology,2039,3175.46,GW.h
N/A,Hydro,Alberta,Technology,2040,3180.677,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2005,741,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2006,921.0001,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2007,1430,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2008,1473,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2009,1558,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2010,1629,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2011,2372,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2012,2601,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2013,3058,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2014,3518.866,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2015,4089.32,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2016,5673.55,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2017,5714.8851,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2018,6536.6132,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2019,8063.0762,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2020,10282.9291,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2021,12640.6095,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2022,15066.2684,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2023,17474.4001,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2024,19873.5293,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2025,22670.439,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2026,25590.147,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2027,28509.877,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2028,31429.542,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2029,33276.193,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2030,36288.339,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2031,38289.091,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2032,38833.505,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2033,39257.499,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2034,39679.454,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2035,40197.981,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2036,40699.15,GW.h
N/A,Solar/Wind/Geothermal,Alberta,Technology,2037,41202.034,GW.h
