Scenario,Region,Type,Year,Data,Unit
Reference,CN,Conventional Light,2005,120.3919447,Thousand cubic metres
Reference,CN,Conventional Heavy,2005,95.71437169,Thousand cubic metres
Reference,CN,C5+,2005,19.07903094,Thousand cubic metres
Reference,CN,Field Condensate,2005,7.152283686,Thousand cubic metres
Reference,CN,Mined Bitumen ,2005,99.6,Thousand cubic metres
Reference,CN,In Situ Bitumen ,2005,69.7,Thousand cubic metres
Reference,CN,Total,2005,411.637631,Thousand cubic metres
Reference,CN,Conventional Light,2006,119.3311015,Thousand cubic metres
Reference,CN,Conventional Heavy,2006,94.53332481,Thousand cubic metres
Reference,CN,C5+,2006,19.69469227,Thousand cubic metres
Reference,CN,Field Condensate,2006,7.466698063,Thousand cubic metres
Reference,CN,Mined Bitumen ,2006,120.9,Thousand cubic metres
Reference,CN,In Situ Bitumen ,2006,78.5,Thousand cubic metres
Reference,CN,Total,2006,440.4258167,Thousand cubic metres
Reference,CN,Conventional Light,2007,128.4964072,Thousand cubic metres
Reference,CN,Conventional Heavy,2007,92.09394825,Thousand cubic metres
Reference,CN,C5+,2007,19.78087757,Thousand cubic metres
Reference,CN,Field Condensate,2007,7.49657349,Thousand cubic metres
Reference,CN,Mined Bitumen ,2007,124.7,Thousand cubic metres
Reference,CN,In Situ Bitumen ,2007,85.2,Thousand cubic metres
Reference,CN,Total,2007,457.7678065,Thousand cubic metres
Reference,CN,Conventional Light,2008,126.614042,Thousand cubic metres
Reference,CN,Conventional Heavy,2008,87.98554133,Thousand cubic metres
Reference,CN,C5+,2008,18.96638768,Thousand cubic metres
Reference,CN,Field Condensate,2008,7.20451177,Thousand cubic metres
Reference,CN,Mined Bitumen ,2008,114.7,Thousand cubic metres
Reference,CN,In Situ Bitumen ,2008,92.7,Thousand cubic metres
Reference,CN,Total,2008,448.1704828,Thousand cubic metres
Reference,CN,Conventional Light,2009,112.6005064,Thousand cubic metres
Reference,CN,Conventional Heavy,2009,81.00635346,Thousand cubic metres
Reference,CN,C5+,2009,17.45007437,Thousand cubic metres
Reference,CN,Field Condensate,2009,6.835235701,Thousand cubic metres
