Area,Type,Case,Year,Data,Unit
British Columbia,Total,Reference,2005,73.49953673,Million cubic metres Per Day
British Columbia,Total,Reference,2006,74.5937466,Million cubic metres Per Day
British Columbia,Total,Reference,2007,74.0941704,Million cubic metres Per Day
British Columbia,Total,Reference,2008,75.55548907,Million cubic metres Per Day
British Columbia,Total,Reference,2009,73.1112076,Million cubic metres Per Day
British Columbia,Total,Reference,2010,81.51850061,Million cubic metres Per Day
British Columbia,Total,Reference,2011,96.95205726,Million cubic metres Per Day
British Columbia,Total,Reference,2012,97.15503301,Million cubic metres Per Day
British Columbia,Total,Reference,2013,105.4347939,Million cubic metres Per Day
British Columbia,Total,Reference,2014,112.4651453,Million cubic metres Per Day
British Columbia,Total,Reference,2015,118.2125846,Million cubic metres Per Day
British Columbia,Total,Reference,2016,125.5486038,Million cubic metres Per Day
British Columbia,Total,Reference,2017,128.588475,Million cubic metres Per Day
British Columbia,Total,Reference,2018,128.8651465,Million cubic metres Per Day
British Columbia,Total,Reference,2019,129.4538333,Million cubic metres Per Day
British Columbia,Total,Reference,2020,130.1142536,Million cubic metres Per Day
British Columbia,Total,Reference,2021,131.0951923,Million cubic metres Per Day
British Columbia,Total,Reference,2022,131.9216776,Million cubic metres Per Day
British Columbia,Total,Reference,2023,132.8515929,Million cubic metres Per Day
British Columbia,Total,Reference,2024,133.9571995,Million cubic metres Per Day
British Columbia,Total,Reference,2025,135.1477066,Million cubic metres Per Day
British Columbia,Total,Reference,2026,136.2556443,Million cubic metres Per Day
British Columbia,Total,Reference,2027,137.3575098,Million cubic metres Per Day
British Columbia,Total,Reference,2028,138.4529206,Million cubic metres Per Day
British Columbia,Total,Reference,2029,139.7220188,Million cubic metres Per Day
British Columbia,Total,Reference,2030,141.1479282,Million cubic metres Per Day
British Columbia,Total,Reference,2031,142.4882253,Million cubic metres Per Day
British Columbia,Total,Reference,2032,143.8182216,Million cubic metres Per Day
British Columbia,Total,Reference,2033,145.3569555,Million cubic metres Per Day
British Columbia,Total,Reference,2034,147.0603679,Million cubic metres Per Day
British Columbia,Total,Reference,2035,148.6873416,Million cubic metres Per Day
British Columbia,Total,Reference,2036,150.2127649,Million cubic metres Per Day
British Columbia,Total,Reference,2037,151.6379888,Million cubic metres Per Day
British Columbia,Total,Reference,2038,152.9815094,Million cubic metres Per Day
British Columbia,Total,Reference,2039,154.2490747,Million cubic metres Per Day
British Columbia,Total,Reference,2040,155.4322848,Million cubic metres Per Day
British Columbia,Solution,Reference,2005,1.699668565,Million cubic metres Per Day
British Columbia,Solution,Reference,2006,1.614685136,Million cubic metres Per Day
British Columbia,Solution,Reference,2007,1.473046089,Million cubic metres Per Day
British Columbia,Solution,Reference,2008,1.303079233,Million cubic metres Per Day
British Columbia,Solution,Reference,2009,0.96314552,Million cubic metres Per Day
British Columbia,Solution,Reference,2010,0.8781620917,Million cubic metres Per Day
British Columbia,Solution,Reference,2011,0.8781620917,Million cubic metres Per Day
British Columbia,Solution,Reference,2012,0.9914733294,Million cubic metres Per Day
British Columbia,Solution,Reference,2013,1.048128948,Million cubic metres Per Day
British Columbia,Solution,Reference,2014,1.303079233,Million cubic metres Per Day
British Columbia,Solution,Reference,2015,1.558029518,Million cubic metres Per Day
British Columbia,Solution,Reference,2016,2.067930087,Million cubic metres Per Day
British Columbia,Solution,Reference,2017,2.294552562,Million cubic metres Per Day
British Columbia,Solution,Reference,2018,2.436191609,Million cubic metres Per Day
British Columbia,Solution,Reference,2019,2.577830656,Million cubic metres Per Day
British Columbia,Solution,Reference,2020,2.719469703,Million cubic metres Per Day
British Columbia,Solution,Reference,2021,2.88943656,Million cubic metres Per Day
British Columbia,Solution,Reference,2022,3.059403416,Million cubic metres Per Day
British Columbia,Solution,Reference,2023,3.257698082,Million cubic metres Per Day
British Columbia,Solution,Reference,2024,3.455992748,Million cubic metres Per Day
British Columbia,Solution,Reference,2025,3.597631795,Million cubic metres Per Day
British Columbia,Solution,Reference,2026,3.682615223,Million cubic metres Per Day
British Columbia,Solution,Reference,2027,3.767598652,Million cubic metres Per Day
British Columbia,Solution,Reference,2028,3.82425427,Million cubic metres Per Day
British Columbia,Solution,Reference,2029,3.880909889,Million cubic metres Per Day
British Columbia,Solution,Reference,2030,3.909237699,Million cubic metres Per Day
British Columbia,Solution,Reference,2031,3.965893317,Million cubic metres Per Day
British Columbia,Solution,Reference,2032,4.022548936,Million cubic metres Per Day
British Columbia,Solution,Reference,2033,4.050876746,Million cubic metres Per Day
British Columbia,Solution,Reference,2034,4.050876746,Million cubic metres Per Day
British Columbia,Solution,Reference,2035,4.050876746,Million cubic metres Per Day
British Columbia,Solution,Reference,2036,4.079204555,Million cubic metres Per Day
British Columbia,Solution,Reference,2037,4.079204555,Million cubic metres Per Day
British Columbia,Solution,Reference,2038,4.079204555,Million cubic metres Per Day
British Columbia,Solution,Reference,2039,4.107532365,Million cubic metres Per Day
British Columbia,Solution,Reference,2040,4.107532365,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2005,51.89654684,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2006,50.05523923,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2007,49.99858361,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2008,50.19687828,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2009,49.71530552,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2010,40.48043965,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2011,36.93946347,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2012,31.0189513,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2013,29.26262712,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2014,27.16636922,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2015,25.32506161,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2016,22.35064162,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2017,20.28271154,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2018,18.69635421,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2019,17.25163593,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2020,15.9485567,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2021,14.7587887,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2022,13.68233195,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2023,12.69085862,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2024,11.78436871,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2025,10.93453443,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2026,10.16968358,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2027,9.489816153,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2028,8.838276536,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2029,8.243392538,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2030,7.70516416,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2031,7.19526359,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2032,6.74201864,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2033,6.317101499,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2034,5.920512167,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2035,5.580578454,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2036,5.240644741,Million cubic metres Per Day
British Columbia,Non Associated,Reference,2037,4.929038837,Million cubic metres Per Day
