province,source,scenario,year,value,unit
all,total,reference,2005,600549.7651,GW.h
AB,total,reference,2005,65258.2415,GW.h
BC,total,reference,2005,69030.2405,GW.h
MB,total,reference,2005,34077.3811,GW.h
NB,total,reference,2005,16533.1088,GW.h
NL,total,reference,2005,41534.3986,GW.h
NS,total,reference,2005,12503.6989,GW.h
NT,total,reference,2005,684.394,GW.h
NU,total,reference,2005,148.881,GW.h
ON,total,reference,2005,154991.019,GW.h
PE,total,reference,2005,7.739,GW.h
QC,total,reference,2005,183852.873,GW.h
SK,total,reference,2005,21574.6557,GW.h
YT,total,reference,2005,353.134,GW.h
all,total,reference,2006,610740.197,GW.h
AB,total,reference,2006,65624.2617,GW.h
BC,total,reference,2006,69020.4205,GW.h
MB,total,reference,2006,34402.4961,GW.h
NB,total,reference,2006,16533.1088,GW.h
NL,total,reference,2006,41534.3986,GW.h
NS,total,reference,2006,12533.6969,GW.h
NT,total,reference,2006,684.394,GW.h
NU,total,reference,2006,148.881,GW.h
ON,total,reference,2006,157278.58,GW.h
PE,total,reference,2006,7.739,GW.h
QC,total,reference,2006,190843.3467,GW.h
SK,total,reference,2006,21775.7397,GW.h
YT,total,reference,2006,353.134,GW.h
all,total,reference,2007,612469.2689,GW.h
AB,total,reference,2007,65814.6177,GW.h
BC,total,reference,2007,69609.3105,GW.h
MB,total,reference,2007,34402.496,GW.h
NB,total,reference,2007,16533.1088,GW.h
NL,total,reference,2007,41534.3986,GW.h
NS,total,reference,2007,12574.0389,GW.h
NT,total,reference,2007,684.394,GW.h
NU,total,reference,2007,148.881,GW.h
ON,total,reference,2007,157278.58,GW.h
PE,total,reference,2007,32.623,GW.h
QC,total,reference,2007,191727.9467,GW.h
SK,total,reference,2007,21775.7397,GW.h
YT,total,reference,2007,353.134,GW.h
all,total,reference,2008,617809.4494,GW.h
AB,total,reference,2008,66661.4254,GW.h
BC,total,reference,2008,65813.6923,GW.h
MB,total,reference,2008,35564.098,GW.h
NB,total,reference,2008,14125.8361,GW.h
NL,total,reference,2008,43279.1298,GW.h
NS,total,reference,2008,12217.1131,GW.h
NT,total,reference,2008,739.468,GW.h
NU,total,reference,2008,182.199,GW.h
ON,total,reference,2008,162748.6145,GW.h
PE,total,reference,2008,126.931,GW.h
QC,total,reference,2008,194213.3379,GW.h
SK,total,reference,2008,21766.5423,GW.h
YT,total,reference,2008,371.062,GW.h
all,total,reference,2009,587561.3747999999,GW.h
AB,total,reference,2009,67176.3683,GW.h
BC,total,reference,2009,61749.9656,GW.h
MB,total,reference,2009,34096.501,GW.h
NB,total,reference,2009,12781.6917,GW.h
NL,total,reference,2009,37391.2706,GW.h
NS,total,reference,2009,11659.9499,GW.h
NT,total,reference,2009,642.202,GW.h
NU,total,reference,2009,161.925,GW.h
ON,total,reference,2009,145324.4705,GW.h
PE,total,reference,2009,304.177,GW.h
QC,total,reference,2009,195118.648,GW.h
SK,total,reference,2009,20756.3792,GW.h
YT,total,reference,2009,397.826,GW.h
all,total,reference,2010,586654.9648999999,GW.h
AB,total,reference,2010,71576.1298,GW.h
BC,total,reference,2010,60090.1567,GW.h
MB,total,reference,2010,33751.26,GW.h
NB,total,reference,2010,11091.449,GW.h
NL,total,reference,2010,41916.9451,GW.h
NS,total,reference,2010,12002.2185,GW.h
NT,total,reference,2010,520.928,GW.h
NU,total,reference,2010,161.925,GW.h
ON,total,reference,2010,151284.4313,GW.h
PE,total,reference,2010,430.817,GW.h
QC,total,reference,2010,183014.996,GW.h
SK,total,reference,2010,20408.4095,GW.h
YT,total,reference,2010,405.299,GW.h
all,total,reference,2011,611322.9127,GW.h
AB,total,reference,2011,73439.9581,GW.h
BC,total,reference,2011,66194.1372,GW.h
MB,total,reference,2011,35112.6171,GW.h
NB,total,reference,2011,11688.3769,GW.h
NL,total,reference,2011,41772.6161,GW.h
NS,total,reference,2011,11966.0845,GW.h
NT,total,reference,2011,452.584,GW.h
NU,total,reference,2011,98.307,GW.h
ON,total,reference,2011,153199.8557,GW.h
PE,total,reference,2011,463.123,GW.h
QC,total,reference,2011,195388.2407,GW.h
SK,total,reference,2011,21121.6754,GW.h
YT,total,reference,2011,425.337,GW.h
all,total,reference,2012,616091.2671999999,GW.h
AB,total,reference,2012,71013.2354,GW.h
BC,total,reference,2012,70352.7968,GW.h
MB,total,reference,2012,33177.799,GW.h
NB,total,reference,2012,9764.9601,GW.h
NL,total,reference,2012,43683.684,GW.h
NS,total,reference,2012,11404.6538,GW.h
NT,total,reference,2012,447.4,GW.h
NU,total,reference,2012,98.306,GW.h
ON,total,reference,2012,155603.9038,GW.h
PE,total,reference,2012,480.783,GW.h
QC,total,reference,2012,198486.0252,GW.h
SK,total,reference,2012,21122.7161,GW.h
YT,total,reference,2012,455.004,GW.h
all,total,reference,2013,617839.8516000002,GW.h
AB,total,reference,2013,73439.1241,GW.h
BC,total,reference,2013,64924.8309,GW.h
MB,total,reference,2013,36320.38,GW.h
NB,total,reference,2013,14804.005,GW.h
NL,total,reference,2013,43072.3192,GW.h
NS,total,reference,2013,11161.9877,GW.h
NT,total,reference,2013,561.571,GW.h
NU,total,reference,2013,98.306,GW.h
ON,total,reference,2013,146577.5204,GW.h
PE,total,reference,2013,531.0879,GW.h
QC,total,reference,2013,204020.1324,GW.h
SK,total,reference,2013,21957.832,GW.h
YT,total,reference,2013,370.755,GW.h
all,total,reference,2014,641493.2299,GW.h
AB,total,reference,2014,81341.6438,GW.h
BC,total,reference,2014,67862.5004,GW.h
MB,total,reference,2014,39479.2007,GW.h
NB,total,reference,2014,9969.8145,GW.h
NL,total,reference,2014,41056.7663,GW.h
NS,total,reference,2014,12408.1405,GW.h
NT,total,reference,2014,744.8968,GW.h
NU,total,reference,2014,151.6819,GW.h
ON,total,reference,2014,167170.9681,GW.h
PE,total,reference,2014,668.7628,GW.h
QC,total,reference,2014,194347.6945,GW.h
SK,total,reference,2014,25880.4274,GW.h
YT,total,reference,2014,410.7322,GW.h
all,total,reference,2015,655697.8778,GW.h
AB,total,reference,2015,87058.0253,GW.h
BC,total,reference,2015,71300.7769,GW.h
MB,total,reference,2015,39815.1111,GW.h
NB,total,reference,2015,10709.472,GW.h
NL,total,reference,2015,41052.3929,GW.h
NS,total,reference,2015,12628.1504,GW.h
NT,total,reference,2015,760.3623,GW.h
NU,total,reference,2015,151.6819,GW.h
ON,total,reference,2015,170225.0803,GW.h
PE,total,reference,2015,435.0966,GW.h
QC,total,reference,2015,194940.3548,GW.h
SK,total,reference,2015,26193.9414,GW.h
YT,total,reference,2015,427.4319,GW.h
all,total,reference,2016,666952.957,GW.h
AB,total,reference,2016,91211.1443,GW.h
BC,total,reference,2016,72287.3239,GW.h
MB,total,reference,2016,40211.3134,GW.h
NB,total,reference,2016,10834.4479,GW.h
NL,total,reference,2016,41145.5873,GW.h
NS,total,reference,2016,12698.9269,GW.h
NT,total,reference,2016,831.0236,GW.h
NU,total,reference,2016,152.1187,GW.h
ON,total,reference,2016,174651.4928,GW.h
PE,total,reference,2016,440.4845,GW.h
QC,total,reference,2016,195804.102,GW.h
SK,total,reference,2016,26242.0862,GW.h
YT,total,reference,2016,442.9055,GW.h
all,total,reference,2017,662052.4166999998,GW.h
AB,total,reference,2017,94691.1893,GW.h
BC,total,reference,2017,72948.6674,GW.h
MB,total,reference,2017,40500.5466,GW.h
NB,total,reference,2017,10900.4774,GW.h
NL,total,reference,2017,41384.5084,GW.h
NS,total,reference,2017,12724.3284,GW.h
NT,total,reference,2017,904.6539,GW.h
NU,total,reference,2017,160.1784,GW.h
ON,total,reference,2017,158884.3183,GW.h
PE,total,reference,2017,466.6469,GW.h
QC,total,reference,2017,200953.4784,GW.h
SK,total,reference,2017,27095.5149,GW.h
YT,total,reference,2017,437.9084,GW.h
all,total,reference,2018,666556.0823,GW.h
AB,total,reference,2018,96948.3723,GW.h
BC,total,reference,2018,73410.7412,GW.h
MB,total,reference,2018,40934.7245,GW.h
NB,total,reference,2018,10868.1184,GW.h
NL,total,reference,2018,44599.5458,GW.h
NS,total,reference,2018,10266.9809,GW.h
NT,total,reference,2018,923.0237,GW.h
NU,total,reference,2018,160.1784,GW.h
ON,total,reference,2018,158266.8823,GW.h
PE,total,reference,2018,489.4423,GW.h
QC,total,reference,2018,201833.682,GW.h
SK,total,reference,2018,27413.5488,GW.h
YT,total,reference,2018,440.8417,GW.h
all,total,reference,2019,673483.3388,GW.h
AB,total,reference,2019,98755.9403,GW.h
BC,total,reference,2019,74217.2733,GW.h
MB,total,reference,2019,40686.2126,GW.h
NB,total,reference,2019,11211.9786,GW.h
NL,total,reference,2019,44706.6064,GW.h
NS,total,reference,2019,9909.8879,GW.h
NT,total,reference,2019,1093.6022,GW.h
NU,total,reference,2019,163.2359,GW.h
ON,total,reference,2019,160204.3354,GW.h
PE,total,reference,2019,492.2826,GW.h
QC,total,reference,2019,205154.6865,GW.h
SK,total,reference,2019,26438.8814,GW.h
YT,total,reference,2019,448.4157,GW.h
all,total,reference,2020,679122.0448,GW.h
