province,sector,source,scenario,year,value,unit
all,total,total,reference,2005,10614.8076,Petajoules
AB,total,total,reference,2005,2755.7602,Petajoules
BC,total,total,reference,2005,1245.7799,Petajoules
MB,total,total,reference,2005,291.3872,Petajoules
NB,total,total,reference,2005,251.8603,Petajoules
NL,total,total,reference,2005,163.1871,Petajoules
NS,total,total,reference,2005,203.1823,Petajoules
NT,total,total,reference,2005,2.3365,Petajoules
NU,total,total,reference,2005,18.5479,Petajoules
ON,total,total,reference,2005,3164.717,Petajoules
PE,total,total,reference,2005,25.9013,Petajoules
QC,total,total,reference,2005,1941.1824,Petajoules
SK,total,total,reference,2005,544.0277,Petajoules
YT,total,total,reference,2005,6.9362,Petajoules
all,total,total,reference,2006,10558.5559,Petajoules
AB,total,total,reference,2006,2896.419,Petajoules
BC,total,total,reference,2006,1203.4274,Petajoules
MB,total,total,reference,2006,275.6617,Petajoules
NB,total,total,reference,2006,252.7119,Petajoules
NL,total,total,reference,2006,164.1141,Petajoules
NS,total,total,reference,2006,197.277,Petajoules
NT,total,total,reference,2006,3.6644,Petajoules
NU,total,total,reference,2006,18.908,Petajoules
ON,total,total,reference,2006,3063.1952,Petajoules
PE,total,total,reference,2006,25.566,Petajoules
QC,total,total,reference,2006,1916.944,Petajoules
SK,total,total,reference,2006,533.388,Petajoules
YT,total,total,reference,2006,7.2779,Petajoules
all,total,total,reference,2007,10961.6972,Petajoules
AB,total,total,reference,2007,3064.8107,Petajoules
BC,total,total,reference,2007,1233.1341,Petajoules
MB,total,total,reference,2007,294.1949,Petajoules
NB,total,total,reference,2007,259.4684,Petajoules
NL,total,total,reference,2007,178.2772,Petajoules
NS,total,total,reference,2007,210.9159,Petajoules
NT,total,total,reference,2007,5.1729,Petajoules
NU,total,total,reference,2007,25.022,Petajoules
ON,total,total,reference,2007,3132.1845,Petajoules
PE,total,total,reference,2007,27.1943,Petajoules
QC,total,total,reference,2007,1957.1,Petajoules
SK,total,total,reference,2007,567.2725,Petajoules
YT,total,total,reference,2007,6.9495,Petajoules
all,total,total,reference,2008,10720.3827,Petajoules
AB,total,total,reference,2008,2932.0507,Petajoules
BC,total,total,reference,2008,1172.2032,Petajoules
MB,total,total,reference,2008,294.4657,Petajoules
NB,total,total,reference,2008,244.2957,Petajoules
NL,total,total,reference,2008,173.5157,Petajoules
NS,total,total,reference,2008,205.2844,Petajoules
NT,total,total,reference,2008,5.119,Petajoules
NU,total,total,reference,2008,22.1484,Petajoules
ON,total,total,reference,2008,3139.4336,Petajoules
PE,total,total,reference,2008,26.213,Petajoules
QC,total,total,reference,2008,1917.7252,Petajoules
SK,total,total,reference,2008,581.4585,Petajoules
YT,total,total,reference,2008,6.469,Petajoules
all,total,total,reference,2009,10314.2109,Petajoules
AB,total,total,reference,2009,2960.426,Petajoules
BC,total,total,reference,2009,1131.8542,Petajoules
MB,total,total,reference,2009,286.3546,Petajoules
NB,total,total,reference,2009,251.6538,Petajoules
NL,total,total,reference,2009,163.9742,Petajoules
NS,total,total,reference,2009,203.0437,Petajoules
NT,total,total,reference,2009,3.89,Petajoules
NU,total,total,reference,2009,16.4933,Petajoules
ON,total,total,reference,2009,2808.8422,Petajoules
PE,total,total,reference,2009,26.2038,Petajoules
QC,total,total,reference,2009,1864.4136,Petajoules
SK,total,total,reference,2009,591.481,Petajoules
YT,total,total,reference,2009,5.5814,Petajoules
all,total,total,reference,2010,10603.2217,Petajoules
AB,total,total,reference,2010,3124.5411,Petajoules
BC,total,total,reference,2010,1150.1146,Petajoules
MB,total,total,reference,2010,284.6176,Petajoules
NB,total,total,reference,2010,277.7251,Petajoules
NL,total,total,reference,2010,164.2197,Petajoules
NS,total,total,reference,2010,204.4914,Petajoules
NT,total,total,reference,2010,4.0088,Petajoules
NU,total,total,reference,2010,17.5586,Petajoules
ON,total,total,reference,2010,2932.3346,Petajoules
PE,total,total,reference,2010,26.9787,Petajoules
QC,total,total,reference,2010,1810.0688,Petajoules
SK,total,total,reference,2010,601.1665,Petajoules
YT,total,total,reference,2010,5.3951,Petajoules
all,total,total,reference,2011,10845.0501,Petajoules
AB,total,total,reference,2011,3228.0908,Petajoules
BC,total,total,reference,2011,1121.4852,Petajoules
MB,total,total,reference,2011,292.0507,Petajoules
NB,total,total,reference,2011,292.6792,Petajoules
NL,total,total,reference,2011,162.7845,Petajoules
NS,total,total,reference,2011,214.7452,Petajoules
NT,total,total,reference,2011,3.7122,Petajoules
NU,total,total,reference,2011,20.042,Petajoules
ON,total,total,reference,2011,3005.8359,Petajoules
PE,total,total,reference,2011,30.2284,Petajoules
QC,total,total,reference,2011,1852.4146,Petajoules
SK,total,total,reference,2011,615.0192,Petajoules
YT,total,total,reference,2011,5.9619,Petajoules
all,total,total,reference,2012,11021.6677,Petajoules
AB,total,total,reference,2012,3499.7112,Petajoules
BC,total,total,reference,2012,1139.06,Petajoules
MB,total,total,reference,2012,308.6404,Petajoules
NB,total,total,reference,2012,280.8082,Petajoules
NL,total,total,reference,2012,148.7249,Petajoules
NS,total,total,reference,2012,198.0118,Petajoules
NT,total,total,reference,2012,3.7464,Petajoules
NU,total,total,reference,2012,18.4023,Petajoules
ON,total,total,reference,2012,2957.6609,Petajoules
PE,total,total,reference,2012,28.7316,Petajoules
