province,sector,source,scenario,year,value,unit
all,total,total,reference,2005,10401.5005,Petajoules
AB,total,total,reference,2005,2704.4816,Petajoules
BC,total,total,reference,2005,1244.2402,Petajoules
MB,total,total,reference,2005,291.0647,Petajoules
NB,total,total,reference,2005,249.7679,Petajoules
NL,total,total,reference,2005,160.2074,Petajoules
NS,total,total,reference,2005,203.4018,Petajoules
NT,total,total,reference,2005,18.3819,Petajoules
NU,total,total,reference,2005,3.3649,Petajoules
ON,total,total,reference,2005,3073.1324,Petajoules
PE,total,total,reference,2005,25.8324,Petajoules
QC,total,total,reference,2005,1866.6492,Petajoules
SK,total,total,reference,2005,554.0623,Petajoules
YT,total,total,reference,2005,6.9139,Petajoules
all,total,total,reference,2006,10356.1824,Petajoules
AB,total,total,reference,2006,2854.2503,Petajoules
BC,total,total,reference,2006,1201.6975,Petajoules
MB,total,total,reference,2006,274.935,Petajoules
NB,total,total,reference,2006,251.0348,Petajoules
NL,total,total,reference,2006,161.6429,Petajoules
NS,total,total,reference,2006,197.4094,Petajoules
NT,total,total,reference,2006,18.7825,Petajoules
NU,total,total,reference,2006,4.4662,Petajoules
ON,total,total,reference,2006,2968.0291,Petajoules
PE,total,total,reference,2006,24.7981,Petajoules
QC,total,total,reference,2006,1846.7326,Petajoules
SK,total,total,reference,2006,545.0724,Petajoules
YT,total,total,reference,2006,7.3317,Petajoules
all,total,total,reference,2007,10738.8804,Petajoules
AB,total,total,reference,2007,3001.8955,Petajoules
BC,total,total,reference,2007,1218.8713,Petajoules
MB,total,total,reference,2007,290.8349,Petajoules
NB,total,total,reference,2007,261.9241,Petajoules
NL,total,total,reference,2007,175.6906,Petajoules
NS,total,total,reference,2007,210.9811,Petajoules
NT,total,total,reference,2007,24.9879,Petajoules
NU,total,total,reference,2007,4.9495,Petajoules
ON,total,total,reference,2007,3030.9081,Petajoules
PE,total,total,reference,2007,26.3018,Petajoules
QC,total,total,reference,2007,1905.8706,Petajoules
SK,total,total,reference,2007,578.6918,Petajoules
YT,total,total,reference,2007,6.9727,Petajoules
all,total,total,reference,2008,10476.3597,Petajoules
AB,total,total,reference,2008,2905.0145,Petajoules
BC,total,total,reference,2008,1156.3424,Petajoules
MB,total,total,reference,2008,290.4399,Petajoules
NB,total,total,reference,2008,245.3765,Petajoules
NL,total,total,reference,2008,169.0016,Petajoules
NS,total,total,reference,2008,205.5159,Petajoules
NT,total,total,reference,2008,21.9966,Petajoules
NU,total,total,reference,2008,4.6517,Petajoules
ON,total,total,reference,2008,3003.2077,Petajoules
PE,total,total,reference,2008,25.3712,Petajoules
QC,total,total,reference,2008,1854.9108,Petajoules
SK,total,total,reference,2008,588.012,Petajoules
YT,total,total,reference,2008,6.5185,Petajoules
all,total,total,reference,2009,10119.13,Petajoules
AB,total,total,reference,2009,2902.701,Petajoules
BC,total,total,reference,2009,1111.7849,Petajoules
MB,total,total,reference,2009,282.2359,Petajoules
NB,total,total,reference,2009,252.0603,Petajoules
NL,total,total,reference,2009,160.5042,Petajoules
NS,total,total,reference,2009,202.3797,Petajoules
NT,total,total,reference,2009,16.3174,Petajoules
NU,total,total,reference,2009,4.477,Petajoules
ON,total,total,reference,2009,2761.7552,Petajoules
PE,total,total,reference,2009,25.5463,Petajoules
QC,total,total,reference,2009,1797.7404,Petajoules
SK,total,total,reference,2009,596.1184,Petajoules
YT,total,total,reference,2009,5.5078,Petajoules
all,total,total,reference,2010,10414.7243,Petajoules
AB,total,total,reference,2010,3060.691,Petajoules
BC,total,total,reference,2010,1125.4868,Petajoules
MB,total,total,reference,2010,278.485,Petajoules
NB,total,total,reference,2010,278.6088,Petajoules
NL,total,total,reference,2010,159.4065,Petajoules
NS,total,total,reference,2010,203.2599,Petajoules
NT,total,total,reference,2010,17.6668,Petajoules
NU,total,total,reference,2010,4.8303,Petajoules
ON,total,total,reference,2010,2901.6957,Petajoules
PE,total,total,reference,2010,26.1624,Petajoules
QC,total,total,reference,2010,1751.7916,Petajoules
SK,total,total,reference,2010,601.2649,Petajoules
YT,total,total,reference,2010,5.374,Petajoules
all,total,total,reference,2011,10686.7014,Petajoules
AB,total,total,reference,2011,3155.4248,Petajoules
BC,total,total,reference,2011,1105.5045,Petajoules
MB,total,total,reference,2011,281.9266,Petajoules
NB,total,total,reference,2011,297.4017,Petajoules
NL,total,total,reference,2011,161.453,Petajoules
NS,total,total,reference,2011,216.8448,Petajoules
NT,total,total,reference,2011,20.3052,Petajoules
NU,total,total,reference,2011,5.3145,Petajoules
ON,total,total,reference,2011,2996.9427,Petajoules
PE,total,total,reference,2011,29.7001,Petajoules
QC,total,total,reference,2011,1780.539,Petajoules
SK,total,total,reference,2011,629.3017,Petajoules
YT,total,total,reference,2011,6.0419,Petajoules
all,total,total,reference,2012,10865.3731,Petajoules
AB,total,total,reference,2012,3427.4905,Petajoules
BC,total,total,reference,2012,1130.6866,Petajoules
MB,total,total,reference,2012,297.3904,Petajoules
NB,total,total,reference,2012,283.0622,Petajoules
NL,total,total,reference,2012,148.6122,Petajoules
NS,total,total,reference,2012,202.4075,Petajoules
NT,total,total,reference,2012,19.5476,Petajoules
NU,total,total,reference,2012,5.683,Petajoules
ON,total,total,reference,2012,2945.7908,Petajoules
PE,total,total,reference,2012,28.2145,Petajoules
QC,total,total,reference,2012,1740.7613,Petajoules
SK,total,total,reference,2012,629.5702,Petajoules
YT,total,total,reference,2012,6.1554,Petajoules
all,total,total,reference,2013,11102.5905,Petajoules
AB,total,total,reference,2013,3531.942,Petajoules
BC,total,total,reference,2013,1168.8851,Petajoules
MB,total,total,reference,2013,303.6039,Petajoules
NB,total,total,reference,2013,236.3466,Petajoules
NL,total,total,reference,2013,145.7624,Petajoules
NS,total,total,reference,2013,194.0882,Petajoules
NT,total,total,reference,2013,18.0753,Petajoules
NU,total,total,reference,2013,5.9211,Petajoules
ON,total,total,reference,2013,3040.4436,Petajoules
PE,total,total,reference,2013,26.3468,Petajoules
QC,total,total,reference,2013,1787.2683,Petajoules
SK,total,total,reference,2013,638.4254,Petajoules
YT,total,total,reference,2013,5.6452,Petajoules
all,total,total,reference,2014,11208.6569,Petajoules
AB,total,total,reference,2014,3586.8625,Petajoules
BC,total,total,reference,2014,1153.9717,Petajoules
MB,total,total,reference,2014,309.1609,Petajoules
NB,total,total,reference,2014,222.9024,Petajoules
NL,total,total,reference,2014,158.3532,Petajoules
NS,total,total,reference,2014,164.2529,Petajoules
NT,total,total,reference,2014,19.6285,Petajoules
NU,total,total,reference,2014,5.6973,Petajoules
ON,total,total,reference,2014,3097.8212,Petajoules
PE,total,total,reference,2014,25.2892,Petajoules
QC,total,total,reference,2014,1787.7527,Petajoules
SK,total,total,reference,2014,672.7003,Petajoules
YT,total,total,reference,2014,4.2972,Petajoules
all,total,total,reference,2015,11167.2067,Petajoules
AB,total,total,reference,2015,3582.6376,Petajoules
BC,total,total,reference,2015,1168.0908,Petajoules
MB,total,total,reference,2015,298.6573,Petajoules
NB,total,total,reference,2015,219.6363,Petajoules
NL,total,total,reference,2015,153.4896,Petajoules
NS,total,total,reference,2015,169.3361,Petajoules
