province,type,scenario,year,value,unit
all,Total,reference,2005,484.9280481,Million cubic metres Per Day
AB,Total,reference,2005,378.2413277,Million cubic metres Per Day
BC,Total,reference,2005,73.49953673,Million cubic metres Per Day
MB,Total,reference,2005,0,Million cubic metres Per Day
NB,Total,reference,2005,0.04939350788,Million cubic metres Per Day
NL,Total,reference,2005,0,Million cubic metres Per Day
NS,Total,reference,2005,10.92300247,Million cubic metres Per Day
NT,Total,reference,2005,1.272223422,Million cubic metres Per Day
NU,Total,reference,2005,0,Million cubic metres Per Day
ON,Total,reference,2005,0.6940141121,Million cubic metres Per Day
PE,Total,reference,2005,0,Million cubic metres Per Day
QC,Total,reference,2005,0,Million cubic metres Per Day
SK,Total,reference,2005,19.80397621,Million cubic metres Per Day
YT,Total,reference,2005,0.4445739728,Million cubic metres Per Day
all,Total,reference,2006,487.4820923,Million cubic metres Per Day
AB,Total,reference,2006,381.3227946,Million cubic metres Per Day
BC,Total,reference,2006,74.5937466,Million cubic metres Per Day
MB,Total,reference,2006,0,Million cubic metres Per Day
NB,Total,reference,2006,0.04682714161,Million cubic metres Per Day
NL,Total,reference,2006,0,Million cubic metres Per Day
NS,Total,reference,2006,9.826966732,Million cubic metres Per Day
NT,Total,reference,2006,0.7696932481,Million cubic metres Per Day
NU,Total,reference,2006,0,Million cubic metres Per Day
ON,Total,reference,2006,0.7073364647,Million cubic metres Per Day
PE,Total,reference,2006,0,Million cubic metres Per Day
QC,Total,reference,2006,0,Million cubic metres Per Day
SK,Total,reference,2006,19.88436419,Million cubic metres Per Day
YT,Total,reference,2006,0.3303632952,Million cubic metres Per Day
all,Total,reference,2007,478.6004099,Million cubic metres Per Day
AB,Total,reference,2007,373.0015834,Million cubic metres Per Day
BC,Total,reference,2007,74.0941704,Million cubic metres Per Day
MB,Total,reference,2007,0,Million cubic metres Per Day
NB,Total,reference,2007,0.4338291452,Million cubic metres Per Day
NL,Total,reference,2007,0,Million cubic metres Per Day
NS,Total,reference,2007,11.19397706,Million cubic metres Per Day
NT,Total,reference,2007,0.7256363173,Million cubic metres Per Day
NU,Total,reference,2007,0,Million cubic metres Per Day
ON,Total,reference,2007,0.5804508189,Million cubic metres Per Day
PE,Total,reference,2007,0,Million cubic metres Per Day
QC,Total,reference,2007,0,Million cubic metres Per Day
SK,Total,reference,2007,18.35078842,Million cubic metres Per Day
YT,Total,reference,2007,0.2199743834,Million cubic metres Per Day
all,Total,reference,2008,461.7510918,Million cubic metres Per Day
AB,Total,reference,2008,355.4411932,Million cubic metres Per Day
BC,Total,reference,2008,75.55548907,Million cubic metres Per Day
MB,Total,reference,2008,0,Million cubic metres Per Day
NB,Total,reference,2008,0.7750050614,Million cubic metres Per Day
NL,Total,reference,2008,0,Million cubic metres Per Day
NS,Total,reference,2008,11.6967079,Million cubic metres Per Day
NT,Total,reference,2008,0.5119540948,Million cubic metres Per Day
NU,Total,reference,2008,0,Million cubic metres Per Day
ON,Total,reference,2008,0.5320491409,Million cubic metres Per Day
PE,Total,reference,2008,0,Million cubic metres Per Day
QC,Total,reference,2008,0,Million cubic metres Per Day
SK,Total,reference,2008,17.07675709,Million cubic metres Per Day
YT,Total,reference,2008,0.1619362031,Million cubic metres Per Day
all,Total,reference,2009,427.103064,Million cubic metres Per Day
AB,Total,reference,2009,327.3410412,Million cubic metres Per Day
BC,Total,reference,2009,73.1112076,Million cubic metres Per Day
MB,Total,reference,2009,0,Million cubic metres Per Day
NB,Total,reference,2009,0.653103952,Million cubic metres Per Day
