province,type,scenario,year,value,unit
all,Total,reference,2005,411.638316343446,Thousand cubic metres
AB,Total,reference,2005,343.125255601133,Thousand cubic metres
BC,Total,reference,2005,4.64508142153098,Thousand cubic metres
MB,Total,reference,2005,2.20348513824885,Thousand cubic metres
NB,Total,reference,2005,0,Thousand cubic metres
NL,Total,reference,2005,48.47,Thousand cubic metres
NS,Total,reference,2005,0,Thousand cubic metres
NT,Total,reference,2005,2.99,Thousand cubic metres
NU,Total,reference,2005,0,Thousand cubic metres
ON,Total,reference,2005,0.38,Thousand cubic metres
PE,Total,reference,2005,0,Thousand cubic metres
QC,Total,reference,2005,0,Thousand cubic metres
SK,Total,reference,2005,66.6172701888121,Thousand cubic metres
YT,Total,reference,2005,0,Thousand cubic metres
all,Total,reference,2006,440.428426346646,Thousand cubic metres
AB,Total,reference,2006,285.721510538914,Thousand cubic metres
BC,Total,reference,2006,4.50663331157194,Thousand cubic metres
MB,Total,reference,2006,3.39816174155146,Thousand cubic metres
NB,Total,reference,2006,0,Thousand cubic metres
NL,Total,reference,2006,48.28,Thousand cubic metres
NS,Total,reference,2006,0,Thousand cubic metres
NT,Total,reference,2006,2.97,Thousand cubic metres
NU,Total,reference,2006,0,Thousand cubic metres
ON,Total,reference,2006,0.34,Thousand cubic metres
PE,Total,reference,2006,0,Thousand cubic metres
QC,Total,reference,2006,0,Thousand cubic metres
SK,Total,reference,2006,68.0521207546083,Thousand cubic metres
YT,Total,reference,2006,0,Thousand cubic metres
all,Total,reference,2007,457.779355398106,Thousand cubic metres
AB,Total,reference,2007,293.271845847414,Thousand cubic metres
BC,Total,reference,2007,4.04502732142857,Thousand cubic metres
MB,Total,reference,2007,3.5315109030978,Thousand cubic metres
NB,Total,reference,2007,0,Thousand cubic metres
NL,Total,reference,2007,58.58,Thousand cubic metres
NS,Total,reference,2007,0,Thousand cubic metres
NT,Total,reference,2007,2.79,Thousand cubic metres
NU,Total,reference,2007,0,Thousand cubic metres
ON,Total,reference,2007,0.3,Thousand cubic metres
PE,Total,reference,2007,0,Thousand cubic metres
QC,Total,reference,2007,0,Thousand cubic metres
SK,Total,reference,2007,67.9709713261649,Thousand cubic metres
YT,Total,reference,2007,0,Thousand cubic metres
all,Total,reference,2008,448.246583333333,Thousand cubic metres
AB,Total,reference,2008,287.337916666667,Thousand cubic metres
BC,Total,reference,2008,3.67658333333333,Thousand cubic metres
MB,Total,reference,2008,3.74658333333333,Thousand cubic metres
NB,Total,reference,2008,0,Thousand cubic metres
NL,Total,reference,2008,54.55,Thousand cubic metres
NS,Total,reference,2008,0,Thousand cubic metres
NT,Total,reference,2008,2.58,Thousand cubic metres
NU,Total,reference,2008,0,Thousand cubic metres
ON,Total,reference,2008,0.27,Thousand cubic metres
PE,Total,reference,2008,0,Thousand cubic metres
QC,Total,reference,2008,0,Thousand cubic metres
SK,Total,reference,2008,69.8455,Thousand cubic metres
YT,Total,reference,2008,0,Thousand cubic metres
all,Total,reference,2009,454.60585984063,Thousand cubic metres
AB,Total,reference,2009,309.98226312788,Thousand cubic metres
BC,Total,reference,2009,3.49822168202765,Thousand cubic metres
MB,Total,reference,2009,4.11622475806452,Thousand cubic metres
NB,Total,reference,2009,0,Thousand cubic metres
NL,Total,reference,2009,42.55,Thousand cubic metres
NS,Total,reference,2009,0,Thousand cubic metres
NT,Total,reference,2009,2.47,Thousand cubic metres
NU,Total,reference,2009,0,Thousand cubic metres
ON,Total,reference,2009,0.25,Thousand cubic metres
PE,Total,reference,2009,0,Thousand cubic metres
QC,Total,reference,2009,0,Thousand cubic metres
SK,Total,reference,2009,67.4391502726574,Thousand cubic metres
YT,Total,reference,2009,0,Thousand cubic metres
all,Total,reference,2010,473.634472692944,Thousand cubic metres
AB,Total,reference,2010,328.828577937043,Thousand cubic metres
BC,Total,reference,2010,3.46491285842294,Thousand cubic metres
MB,Total,reference,2010,4.76368466845878,Thousand cubic metres
NB,Total,reference,2010,0,Thousand cubic metres
NL,Total,reference,2010,43.85,Thousand cubic metres
NS,Total,reference,2010,0,Thousand cubic metres
NT,Total,reference,2010,2.39,Thousand cubic metres
NU,Total,reference,2010,0,Thousand cubic metres
ON,Total,reference,2010,0.24,Thousand cubic metres
PE,Total,reference,2010,0,Thousand cubic metres
QC,Total,reference,2010,0,Thousand cubic metres
SK,Total,reference,2010,67.1554682360471,Thousand cubic metres
YT,Total,reference,2010,0,Thousand cubic metres
all,Total,reference,2011,498.763565649689,Thousand cubic metres
AB,Total,reference,2011,354.49560891879,Thousand cubic metres
BC,Total,reference,2011,3.23754302099334,Thousand cubic metres
MB,Total,reference,2011,6.46227150921659,Thousand cubic metres
NB,Total,reference,2011,0,Thousand cubic metres
NL,Total,reference,2011,42.14,Thousand cubic metres
NS,Total,reference,2011,0,Thousand cubic metres
NT,Total,reference,2011,1.67,Thousand cubic metres
NU,Total,reference,2011,0,Thousand cubic metres
ON,Total,reference,2011,0.22,Thousand cubic metres
PE,Total,reference,2011,0,Thousand cubic metres
QC,Total,reference,2011,0,Thousand cubic metres
SK,Total,reference,2011,67.947183172043,Thousand cubic metres
YT,Total,reference,2011,0,Thousand cubic metres
all,Total,reference,2012,536.37538122414,Thousand cubic metres
AB,Total,reference,2012,394.042373756953,Thousand cubic metres
BC,Total,reference,2012,3.32575639661352,Thousand cubic metres
MB,Total,reference,2012,8.09456455289828,Thousand cubic metres
NB,Total,reference,2012,0,Thousand cubic metres
NL,Total,reference,2012,31.43,Thousand cubic metres
NS,Total,reference,2012,0,Thousand cubic metres
NT,Total,reference,2012,2.07,Thousand cubic metres
NU,Total,reference,2012,0,Thousand cubic metres
ON,Total,reference,2012,0.22,Thousand cubic metres
PE,Total,reference,2012,0,Thousand cubic metres
QC,Total,reference,2012,0,Thousand cubic metres
SK,Total,reference,2012,74.9642621396569,Thousand cubic metres
YT,Total,reference,2012,0,Thousand cubic metres
all,Total,reference,2013,575.279737424724,Thousand cubic metres
AB,Total,reference,2013,423.564083365944,Thousand cubic metres
BC,Total,reference,2013,3.12366760240655,Thousand cubic metres
MB,Total,reference,2013,8.26273671915003,Thousand cubic metres
NB,Total,reference,2013,0,Thousand cubic metres
NL,Total,reference,2013,36.87,Thousand cubic metres
NS,Total,reference,2013,0,Thousand cubic metres
NT,Total,reference,2013,1.96,Thousand cubic metres
NU,Total,reference,2013,0,Thousand cubic metres
ON,Total,reference,2013,0.2,Thousand cubic metres
PE,Total,reference,2013,0,Thousand cubic metres
QC,Total,reference,2013,0,Thousand cubic metres
SK,Total,reference,2013,77.0608022875064,Thousand cubic metres
YT,Total,reference,2013,0,Thousand cubic metres
all,Total,reference,2014,612.79561167905,Thousand cubic metres
AB,Total,reference,2014,447.094016543239,Thousand cubic metres
BC,Total,reference,2014,3.41292398233487,Thousand cubic metres
MB,Total,reference,2014,7.7813506688428,Thousand cubic metres
NB,Total,reference,2014,0,Thousand cubic metres
NL,Total,reference,2014,34.34,Thousand cubic metres
NS,Total,reference,2014,0,Thousand cubic metres
NT,Total,reference,2014,1.69,Thousand cubic metres
NU,Total,reference,2014,0,Thousand cubic metres
ON,Total,reference,2014,0.19,Thousand cubic metres
PE,Total,reference,2014,0,Thousand cubic metres
QC,Total,reference,2014,0,Thousand cubic metres
SK,Total,reference,2014,88.5525375,Thousand cubic metres
YT,Total,reference,2014,0,Thousand cubic metres
all,Total,reference,2015,638.401512814055,Thousand cubic metres
AB,Total,reference,2015,485.470153961017,Thousand cubic metres
BC,Total,reference,2015,3.37654703020993,Thousand cubic metres
MB,Total,reference,2015,7.28279691052227,Thousand cubic metres
NB,Total,reference,2015,0,Thousand cubic metres
NL,Total,reference,2015,27.348,Thousand cubic metres
NS,Total,reference,2015,0,Thousand cubic metres
NT,Total,reference,2015,1.576,Thousand cubic metres
NU,Total,reference,2015,0,Thousand cubic metres
ON,Total,reference,2015,0.157383896569381,Thousand cubic metres
PE,Total,reference,2015,0,Thousand cubic metres
QC,Total,reference,2015,0,Thousand cubic metres
SK,Total,reference,2015,77.3412989093702,Thousand cubic metres
YT,Total,reference,2015,0,Thousand cubic metres
all,Total,reference,2016,637.04870595007,Thousand cubic metres
AB,Total,reference,2016,475.952133939292,Thousand cubic metres
BC,Total,reference,2016,3.69426168582375,Thousand cubic metres
MB,Total,reference,2016,6.38099856538129,Thousand cubic metres
NB,Total,reference,2016,0,Thousand cubic metres
NL,Total,reference,2016,33.334,Thousand cubic metres
NS,Total,reference,2016,0,Thousand cubic metres
NT,Total,reference,2016,1.428,Thousand cubic metres
NU,Total,reference,2016,0,Thousand cubic metres
ON,Total,reference,2016,0.155150057603687,Thousand cubic metres
PE,Total,reference,2016,0,Thousand cubic metres
QC,Total,reference,2016,0,Thousand cubic metres
SK,Total,reference,2016,73.047161491163,Thousand cubic metres
YT,Total,reference,2016,0,Thousand cubic metres
all,Total,reference,2017,693.541120707416,Thousand cubic metres
AB,Total,reference,2017,519.249937234985,Thousand cubic metres
BC,Total,reference,2017,3.35018104181825,Thousand cubic metres
MB,Total,reference,2017,5.8308193436537,Thousand cubic metres
NB,Total,reference,2017,0,Thousand cubic metres
NL,Total,reference,2017,35.096,Thousand cubic metres
NS,Total,reference,2017,0,Thousand cubic metres
NT,Total,reference,2017,0.054,Thousand cubic metres
NU,Total,reference,2017,0,Thousand cubic metres
ON,Total,reference,2017,0.094,Thousand cubic metres
PE,Total,reference,2017,0,Thousand cubic metres
QC,Total,reference,2017,0,Thousand cubic metres
SK,Total,reference,2017,77.3842422731295,Thousand cubic metres
YT,Total,reference,2017,0,Thousand cubic metres
all,Total,reference,2018,758.721235246069,Thousand cubic metres
AB,Total,reference,2018,566.966476025308,Thousand cubic metres
BC,Total,reference,2018,3.19391206887368,Thousand cubic metres
MB,Total,reference,2018,5.3700572684063,Thousand cubic metres
NB,Total,reference,2018,0,Thousand cubic metres
NL,Total,reference,2018,38.75,Thousand cubic metres
NS,Total,reference,2018,0,Thousand cubic metres
NT,Total,reference,2018,0.1,Thousand cubic metres
NU,Total,reference,2018,0,Thousand cubic metres
ON,Total,reference,2018,0.124,Thousand cubic metres
PE,Total,reference,2018,0,Thousand cubic metres
QC,Total,reference,2018,0,Thousand cubic metres
SK,Total,reference,2018,81.0766423260197,Thousand cubic metres
YT,Total,reference,2018,0,Thousand cubic metres
all,Total,reference,2019,805.591910783526,Thousand cubic metres
AB,Total,reference,2019,598.121997934126,Thousand cubic metres
BC,Total,reference,2019,3.03152449299639,Thousand cubic metres
MB,Total,reference,2019,4.90985056994885,Thousand cubic metres
NB,Total,reference,2019,0,Thousand cubic metres
NL,Total,reference,2019,42.4715496686522,Thousand cubic metres
NS,Total,reference,2019,0,Thousand cubic metres
NT,Total,reference,2019,1.21292307692308,Thousand cubic metres
NU,Total,reference,2019,0,Thousand cubic metres
ON,Total,reference,2019,0.129,Thousand cubic metres
PE,Total,reference,2019,0,Thousand cubic metres
QC,Total,reference,2019,0,Thousand cubic metres
SK,Total,reference,2019,84.1981391928226,Thousand cubic metres
YT,Total,reference,2019,0,Thousand cubic metres
all,Total,reference,2020,824.978582241946,Thousand cubic metres
AB,Total,reference,2020,612.676990257606,Thousand cubic metres
BC,Total,reference,2020,2.84444588331198,Thousand cubic metres
MB,Total,reference,2020,4.48416747475781,Thousand cubic metres
NB,Total,reference,2020,0,Thousand cubic metres
NL,Total,reference,2020,42.4608816021136,Thousand cubic metres
NS,Total,reference,2020,0,Thousand cubic metres
NT,Total,reference,2020,1.30584057971014,Thousand cubic metres
NU,Total,reference,2020,0,Thousand cubic metres
ON,Total,reference,2020,0.135,Thousand cubic metres
PE,Total,reference,2020,0,Thousand cubic metres
QC,Total,reference,2020,0,Thousand cubic metres
SK,Total,reference,2020,85.7605496816416,Thousand cubic metres
YT,Total,reference,2020,0,Thousand cubic metres
all,Total,reference,2021,837.827593918247,Thousand cubic metres
AB,Total,reference,2021,618.173162728486,Thousand cubic metres
BC,Total,reference,2021,2.71587866030079,Thousand cubic metres
MB,Total,reference,2021,4.12114526429909,Thousand cubic metres
NB,Total,reference,2021,0,Thousand cubic metres
NL,Total,reference,2021,45.9806075216623,Thousand cubic metres
NS,Total,reference,2021,0,Thousand cubic metres
NT,Total,reference,2021,1.3217941381236,Thousand cubic metres
NU,Total,reference,2021,0,Thousand cubic metres
ON,Total,reference,2021,0.147546161022518,Thousand cubic metres
PE,Total,reference,2021,0,Thousand cubic metres
QC,Total,reference,2021,0,Thousand cubic metres
SK,Total,reference,2021,86.9066686946162,Thousand cubic metres
YT,Total,reference,2021,0,Thousand cubic metres
all,Total,reference,2022,847.999910151957,Thousand cubic metres
AB,Total,reference,2022,623.301669522915,Thousand cubic metres
BC,Total,reference,2022,2.63612845140037,Thousand cubic metres
MB,Total,reference,2022,3.82691917426449,Thousand cubic metres
NB,Total,reference,2022,0,Thousand cubic metres
NL,Total,reference,2022,46.8916837860123,Thousand cubic metres
NS,Total,reference,2022,0,Thousand cubic metres
NT,Total,reference,2022,1.28214031397989,Thousand cubic metres
NU,Total,reference,2022,0,Thousand cubic metres
ON,Total,reference,2022,0.146070699412293,Thousand cubic metres
PE,Total,reference,2022,0,Thousand cubic metres
QC,Total,reference,2022,0,Thousand cubic metres
SK,Total,reference,2022,88.1847102568817,Thousand cubic metres
YT,Total,reference,2022,0,Thousand cubic metres
all,Total,reference,2023,867.705936483095,Thousand cubic metres
AB,Total,reference,2023,636.47479061236,Thousand cubic metres
BC,Total,reference,2023,2.56684206251831,Thousand cubic metres
MB,Total,reference,2023,3.60044183793532,Thousand cubic metres
NB,Total,reference,2023,0,Thousand cubic metres
NL,Total,reference,2023,49.2464249604766,Thousand cubic metres
NS,Total,reference,2023,0,Thousand cubic metres
NT,Total,reference,2023,1.2436761045605,Thousand cubic metres
NU,Total,reference,2023,0,Thousand cubic metres
ON,Total,reference,2023,0.14460999241817,Thousand cubic metres
