province,source,scenario,year,value,unit
all,total,reference,2005,603272.6627,GW.h
AB,total,reference,2005,68085.208,GW.h
BC,total,reference,2005,65664.38,GW.h
MB,total,reference,2005,36990.3558,GW.h
NB,total,reference,2005,17387.7639,GW.h
NL,total,reference,2005,46954.1339,GW.h
NS,total,reference,2005,12257.1852,GW.h
NT,total,reference,2005,446.921,GW.h
NU,total,reference,2005,142,GW.h
ON,total,reference,2005,156609.1436,GW.h
PE,total,reference,2005,42.2243,GW.h
QC,total,reference,2005,178603.31,GW.h
SK,total,reference,2005,19736.903,GW.h
YT,total,reference,2005,353.134,GW.h
all,total,reference,2006,599549.1702,GW.h
AB,total,reference,2006,71426.2209,GW.h
BC,total,reference,2006,59275.791,GW.h
MB,total,reference,2006,34435.9581,GW.h
NB,total,reference,2006,17589.7884,GW.h
NL,total,reference,2006,48518.1584,GW.h
NS,total,reference,2006,11296.9369,GW.h
NT,total,reference,2006,429.158,GW.h
NU,total,reference,2006,145,GW.h
ON,total,reference,2006,156293.2202,GW.h
PE,total,reference,2006,38.2243,GW.h
QC,total,reference,2006,180141.077,GW.h
SK,total,reference,2006,19606.503,GW.h
YT,total,reference,2006,353.134,GW.h
all,total,reference,2007,623247.6912,GW.h
AB,total,reference,2007,72218.8881,GW.h
BC,total,reference,2007,69444.68,GW.h
MB,total,reference,2007,34440.5237,GW.h
NB,total,reference,2007,15887.4998,GW.h
NL,total,reference,2007,46352.1188,GW.h
NS,total,reference,2007,12482.6846,GW.h
NT,total,reference,2007,405.731,GW.h
NU,total,reference,2007,149,GW.h
ON,total,reference,2007,156467.4268,GW.h
PE,total,reference,2007,42.2243,GW.h
QC,total,reference,2007,194388.8771,GW.h
SK,total,reference,2007,20614.903,GW.h
YT,total,reference,2007,353.134,GW.h
all,total,reference,2008,621191.2751,GW.h
AB,total,reference,2008,71326.3421,GW.h
BC,total,reference,2008,63722.706,GW.h
MB,total,reference,2008,35567.1803,GW.h
NB,total,reference,2008,13147.0667,GW.h
NL,total,reference,2008,47369.2227,GW.h
NS,total,reference,2008,12101.577,GW.h
NT,total,reference,2008,447.5092,GW.h
NU,total,reference,2008,182,GW.h
ON,total,reference,2008,161366.1029,GW.h
PE,total,reference,2008,144.2243,GW.h
QC,total,reference,2008,193680.6769,GW.h
SK,total,reference,2008,21765.605,GW.h
YT,total,reference,2008,371.062,GW.h
all,total,reference,2009,603912.2546,GW.h
AB,total,reference,2009,71976.857,GW.h
BC,total,reference,2009,60242.043,GW.h
MB,total,reference,2009,34196.0516,GW.h
NB,total,reference,2009,12939.9893,GW.h
NL,total,reference,2009,43580.7483,GW.h
NS,total,reference,2009,11470.647,GW.h
NT,total,reference,2009,418.2507,GW.h
NU,total,reference,2009,162,GW.h
ON,total,reference,2009,151036.4385,GW.h
PE,total,reference,2009,349.2243,GW.h
QC,total,reference,2009,196373.277,GW.h
SK,total,reference,2009,20768.9019,GW.h
YT,total,reference,2009,397.826,GW.h
all,total,reference,2010,587765.0076,GW.h
AB,total,reference,2010,73790.8972,GW.h
BC,total,reference,2010,60100.721,GW.h
MB,total,reference,2010,33771.5189,GW.h
NB,total,reference,2010,11170.3589,GW.h
NL,total,reference,2010,45635.8099,GW.h
NS,total,reference,2010,11776.21,GW.h
NT,total,reference,2010,309.0334,GW.h
NU,total,reference,2010,162,GW.h
ON,total,reference,2010,145483.7268,GW.h
PE,total,reference,2010,460.2243,GW.h
QC,total,reference,2010,184291.4052,GW.h
SK,total,reference,2010,20407.803,GW.h
YT,total,reference,2010,405.299,GW.h
all,total,reference,2011,617413.9862,GW.h
AB,total,reference,2011,73370.7142,GW.h
BC,total,reference,2011,68674.245,GW.h
MB,total,reference,2011,35126.361,GW.h
NB,total,reference,2011,11849.7673,GW.h
NL,total,reference,2011,44887.8503,GW.h
NS,total,reference,2011,11418.255,GW.h
NT,total,reference,2011,356.8152,GW.h
NU,total,reference,2011,98,GW.h
ON,total,reference,2011,153235.4836,GW.h
PE,total,reference,2011,490.2243,GW.h
QC,total,reference,2011,196285.6364,GW.h
SK,total,reference,2011,21195.2969,GW.h
YT,total,reference,2011,425.337,GW.h
all,total,reference,2012,621224.8765,GW.h
AB,total,reference,2012,74246.512,GW.h
BC,total,reference,2012,71623.218,GW.h
