province,source,scenario,year,value,unit
all,total,reference,2005,599391.6,GW.h
AB,total,reference,2005,68442.16,GW.h
BC,total,reference,2005,65664.38,GW.h
MB,total,reference,2005,36983.53,GW.h
NB,total,reference,2005,17566.82,GW.h
NL,total,reference,2005,42314.66,GW.h
NS,total,reference,2005,11795.68,GW.h
NT,total,reference,2005,493.1351,GW.h
NU,total,reference,2005,142,GW.h
ON,total,reference,2005,156878,GW.h
PE,total,reference,2005,40.879,GW.h
QC,total,reference,2005,178980.3,GW.h
SK,total,reference,2005,19736.9,GW.h
YT,total,reference,2005,353.134,GW.h
all,total,reference,2006,594401.6,GW.h
AB,total,reference,2006,71783.15,GW.h
BC,total,reference,2006,59275.79,GW.h
MB,total,reference,2006,34423.1,GW.h
NB,total,reference,2006,17769.71,GW.h
NL,total,reference,2006,43054.26,GW.h
NS,total,reference,2006,11467.99,GW.h
NT,total,reference,2006,462.8529,GW.h
NU,total,reference,2006,145,GW.h
ON,total,reference,2006,156562.1,GW.h
PE,total,reference,2006,36.879,GW.h
QC,total,reference,2006,179461.1,GW.h
SK,total,reference,2006,19606.5,GW.h
YT,total,reference,2006,353.134,GW.h
all,total,reference,2007,616305.6,GW.h
AB,total,reference,2007,72542.34,GW.h
BC,total,reference,2007,69444.68,GW.h
MB,total,reference,2007,34429.2,GW.h
NB,total,reference,2007,16067.48,GW.h
NL,total,reference,2007,41833.66,GW.h
NS,total,reference,2007,12576.29,GW.h
NT,total,reference,2007,427.8137,GW.h
NU,total,reference,2007,149,GW.h
ON,total,reference,2007,156736.3,GW.h
PE,total,reference,2007,40.879,GW.h
QC,total,reference,2007,191089.9,GW.h
SK,total,reference,2007,20614.9,GW.h
YT,total,reference,2007,353.134,GW.h
all,total,reference,2008,617707.5,GW.h
AB,total,reference,2008,71654.46,GW.h
BC,total,reference,2008,63722.7,GW.h
MB,total,reference,2008,35561.3,GW.h
NB,total,reference,2008,13264.46,GW.h
NL,total,reference,2008,43493.25,GW.h
NS,total,reference,2008,12215.73,GW.h
NT,total,reference,2008,476.047,GW.h
NU,total,reference,2008,182,GW.h
ON,total,reference,2008,161659.1,GW.h
PE,total,reference,2008,147.482,GW.h
QC,total,reference,2008,193194.3,GW.h
SK,total,reference,2008,21765.6,GW.h
YT,total,reference,2008,371.062,GW.h
all,total,reference,2009,590312.7,GW.h
AB,total,reference,2009,72166.98,GW.h
BC,total,reference,2009,60262.97,GW.h
MB,total,reference,2009,34185.9,GW.h
NB,total,reference,2009,13108.33,GW.h
NL,total,reference,2009,38399.21,GW.h
NS,total,reference,2009,11695.34,GW.h
NT,total,reference,2009,506.549,GW.h
NU,total,reference,2009,162,GW.h
ON,total,reference,2009,142370,GW.h
PE,total,reference,2009,354.721,GW.h
QC,total,reference,2009,195934,GW.h
SK,total,reference,2009,20768.9,GW.h
YT,total,reference,2009,397.826,GW.h
all,total,reference,2010,581073,GW.h
AB,total,reference,2010,70346.07,GW.h
