province,source,scenario,year,value,unit
all,total,reference,2005,602429.8307,GW.h
AB,total,reference,2005,68442.1496,GW.h
BC,total,reference,2005,67113.8,GW.h
MB,total,reference,2005,36983.53,GW.h
NB,total,reference,2005,21064.4,GW.h
NL,total,reference,2005,42071.2839,GW.h
NS,total,reference,2005,8685.7852,GW.h
NT,total,reference,2005,684.247,GW.h
NU,total,reference,2005,142,GW.h
ON,total,reference,2005,157279.645,GW.h
PE,total,reference,2005,40.879,GW.h
QC,total,reference,2005,179832.077,GW.h
SK,total,reference,2005,19736.9,GW.h
YT,total,reference,2005,353.134,GW.h
all,total,reference,2006,594578.7027,GW.h
AB,total,reference,2006,71783.1506,GW.h
BC,total,reference,2006,60825.3,GW.h
MB,total,reference,2006,34423.1,GW.h
NB,total,reference,2006,18204.6,GW.h
NL,total,reference,2006,42810.8849,GW.h
NS,total,reference,2006,8712.9852,GW.h
NT,total,reference,2006,684.247,GW.h
NU,total,reference,2006,145,GW.h
ON,total,reference,2006,157288.445,GW.h
PE,total,reference,2006,36.879,GW.h
QC,total,reference,2006,179704.477,GW.h
SK,total,reference,2006,19606.5,GW.h
YT,total,reference,2006,353.134,GW.h
all,total,reference,2007,617115.2557,GW.h
AB,total,reference,2007,72542.3436,GW.h
BC,total,reference,2007,71074.3,GW.h
MB,total,reference,2007,34429.2,GW.h
NB,total,reference,2007,16937.761,GW.h
NL,total,reference,2007,41590.2839,GW.h
NS,total,reference,2007,9903.2852,GW.h
NT,total,reference,2007,684.247,GW.h
NU,total,reference,2007,149,GW.h
ON,total,reference,2007,157462.645,GW.h
PE,total,reference,2007,40.879,GW.h
QC,total,reference,2007,191333.277,GW.h
SK,total,reference,2007,20614.9,GW.h
YT,total,reference,2007,353.134,GW.h
all,total,reference,2008,619623.2855,GW.h
AB,total,reference,2008,71654.4621,GW.h
BC,total,reference,2008,64821.5,GW.h
MB,total,reference,2008,35561.3,GW.h
NB,total,reference,2008,14271.994,GW.h
NL,total,reference,2008,43386.0003,GW.h
NS,total,reference,2008,10778.6269,GW.h
NT,total,reference,2008,739.575,GW.h
NU,total,reference,2008,182,GW.h
ON,total,reference,2008,162642.1522,GW.h
PE,total,reference,2008,147.482,GW.h
QC,total,reference,2008,193301.531,GW.h
SK,total,reference,2008,21765.6,GW.h
YT,total,reference,2008,371.062,GW.h
all,total,reference,2009,594620.2012,GW.h
AB,total,reference,2009,72166.9892,GW.h
BC,total,reference,2009,61365.8,GW.h
MB,total,reference,2009,34185.9,GW.h
NB,total,reference,2009,13110.441,GW.h
NL,total,reference,2009,38399.2162,GW.h
NS,total,reference,2009,10345.3384,GW.h
NT,total,reference,2009,641.952,GW.h
NU,total,reference,2009,162,GW.h
ON,total,reference,2009,146787.1384,GW.h
PE,total,reference,2009,354.721,GW.h
