Area,Type,Case,Year,Data,Unit
Alberta,Total,Reference,2005,282.21,Thousand cubic metres
Alberta,Total,Reference,2006,308.9,Thousand cubic metres
Alberta,Total,Reference,2007,316.65,Thousand cubic metres
Alberta,Total,Reference,2008,309.78,Thousand cubic metres
Alberta,Total,Reference,2009,331.02,Thousand cubic metres
Alberta,Total,Reference,2010,349.55,Thousand cubic metres
Alberta,Total,Reference,2011,374.76,Thousand cubic metres
Alberta,Total,Reference,2012,413.09,Thousand cubic metres
Alberta,Total,Reference,2013,444.75,Thousand cubic metres
Alberta,Total,Reference,2014,485.04,Thousand cubic metres
Alberta,Total,Reference,2015,516.2676100454,Thousand cubic metres
Alberta,Total,Reference,2016,523.9575334861,Thousand cubic metres
Alberta,Total,Reference,2017,555.8924147819,Thousand cubic metres
Alberta,Total,Reference,2018,581.8126268978,Thousand cubic metres
Alberta,Total,Reference,2019,605.9695421515,Thousand cubic metres
Alberta,Total,Reference,2020,616.1312412086,Thousand cubic metres
Alberta,Total,Reference,2021,624.8770387152,Thousand cubic metres
Alberta,Total,Reference,2022,635.1573247243,Thousand cubic metres
Alberta,Total,Reference,2023,649.8530888422,Thousand cubic metres
Alberta,Total,Reference,2024,655.6283702451,Thousand cubic metres
Alberta,Total,Reference,2025,670.5010179623,Thousand cubic metres
Alberta,Total,Reference,2026,696.7358448128,Thousand cubic metres
Alberta,Total,Reference,2027,709.739802087,Thousand cubic metres
Alberta,Total,Reference,2028,713.4702827306,Thousand cubic metres
Alberta,Total,Reference,2029,723.7093652109,Thousand cubic metres
Alberta,Total,Reference,2030,742.2132143114,Thousand cubic metres
Alberta,Total,Reference,2031,758.1373848014,Thousand cubic metres
Alberta,Total,Reference,2032,760.6533491935,Thousand cubic metres
Alberta,Total,Reference,2033,765.345972355,Thousand cubic metres
Alberta,Total,Reference,2034,771.8895107252,Thousand cubic metres
Alberta,Total,Reference,2035,777.1327856274,Thousand cubic metres
Alberta,Total,Reference,2036,786.4579829077,Thousand cubic metres
Alberta,Total,Reference,2037,790.7046765334,Thousand cubic metres
Alberta,Total,Reference,2038,790.9230512982,Thousand cubic metres
Alberta,Total,Reference,2039,792.1579125599,Thousand cubic metres
Alberta,Total,Reference,2040,790.4393049904,Thousand cubic metres
Alberta,Conventional Light,Reference,2005,59.4,Thousand cubic metres
Alberta,Conventional Light,Reference,2006,57.2,Thousand cubic metres
Alberta,Conventional Light,Reference,2007,55.1,Thousand cubic metres
Alberta,Conventional Light,Reference,2008,55.1,Thousand cubic metres
Alberta,Conventional Light,Reference,2009,50.6,Thousand cubic metres
Alberta,Conventional Light,Reference,2010,50.7,Thousand cubic metres
Alberta,Conventional Light,Reference,2011,55.7,Thousand cubic metres
Alberta,Conventional Light,Reference,2012,65,Thousand cubic metres
Alberta,Conventional Light,Reference,2013,68.3,Thousand cubic metres
Alberta,Conventional Light,Reference,2014,69.48,Thousand cubic metres
Alberta,Conventional Light,Reference,2015,62.5589069796,Thousand cubic metres
Alberta,Conventional Light,Reference,2016,52.7047320232,Thousand cubic metres
Alberta,Conventional Light,Reference,2017,53.6254569111,Thousand cubic metres
Alberta,Conventional Light,Reference,2018,53.594016037,Thousand cubic metres
Alberta,Conventional Light,Reference,2019,53.9392474436,Thousand cubic metres
Alberta,Conventional Light,Reference,2020,55.5955946462,Thousand cubic metres
Alberta,Conventional Light,Reference,2021,57.6592130925,Thousand cubic metres
Alberta,Conventional Light,Reference,2022,59.3035043385,Thousand cubic metres
Alberta,Conventional Light,Reference,2023,60.6830047605,Thousand cubic metres
Alberta,Conventional Light,Reference,2024,61.8089327001,Thousand cubic metres
Alberta,Conventional Light,Reference,2025,62.5572099933,Thousand cubic metres
Alberta,Conventional Light,Reference,2026,62.8487432845,Thousand cubic metres
Alberta,Conventional Light,Reference,2027,62.7588064833,Thousand cubic metres
Alberta,Conventional Light,Reference,2028,62.3791102501,Thousand cubic metres
Alberta,Conventional Light,Reference,2029,61.8059889461,Thousand cubic metres
Alberta,Conventional Light,Reference,2030,61.0636662262,Thousand cubic metres
Alberta,Conventional Light,Reference,2031,60.176948494,Thousand cubic metres
Alberta,Conventional Light,Reference,2032,59.1717576566,Thousand cubic metres
Alberta,Conventional Light,Reference,2033,58.4550915039,Thousand cubic metres
Alberta,Conventional Light,Reference,2034,57.8368895596,Thousand cubic metres
Alberta,Conventional Light,Reference,2035,56.9080854703,Thousand cubic metres
Alberta,Conventional Light,Reference,2036,56.0440281144,Thousand cubic metres
Alberta,Conventional Light,Reference,2037,55.1160319273,Thousand cubic metres
Alberta,Conventional Light,Reference,2038,54.1977591201,Thousand cubic metres
Alberta,Conventional Light,Reference,2039,53.2105440534,Thousand cubic metres
Alberta,Conventional Light,Reference,2040,52.0412925608,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2005,31.4,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2006,29.2,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2007,28.3,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2008,24.8,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2009,22.7,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2010,22.3,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2011,22.2,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2012,23.3,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2013,24.3,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2014,24.35,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2015,21.7436532028,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2016,18.7311014486,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2017,18.5905341333,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2018,18.3223607658,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2019,18.1558807703,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2020,18.2706471317,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2021,18.5325369214,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2022,18.7580403002,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2023,18.9321446145,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2024,19.0681342484,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2025,19.1310785491,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2026,19.0917387925,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2027,18.9609748249,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2028,18.7616299516,Thousand cubic metres
Alberta,Conventional Heavy,Reference,2029,18.5123374477,Thousand cubic metres
